cell_id,Acridotheres fuscus,Acridotheres fuscus mahrattensis,Acridotheres fuscus [fuscus Group]
82209ffffffffff,24.0,0.0,0.0
823c07fffffffff,1799.0,0.0,0.0
823c0ffffffffff,3.0,0.0,0.0
823c17fffffffff,305.0,0.0,0.0
823c1ffffffffff,643.0,0.0,0.0
823c37fffffffff,255.0,0.0,0.0
823c57fffffffff,113.0,0.0,0.0
823c5ffffffffff,1421.0,0.0,0.0
823c87fffffffff,230.0,0.0,0.0
823c8ffffffffff,686.0,0.0,0.0
823c97fffffffff,347.0,0.0,0.0
823c9ffffffffff,155.0,0.0,0.0
823ca7fffffffff,13.0,0.0,0.0
823caffffffffff,16.0,0.0,0.0
823cb7fffffffff,63.0,0.0,0.0
823cc7fffffffff,1342.0,0.0,0.0
823ccffffffffff,24.0,0.0,0.0
823cd7fffffffff,82.0,0.0,0.0
823cdffffffffff,86.0,0.0,0.0
823ce7fffffffff,3409.0,0.0,0.0
823ceffffffffff,2361.0,0.0,0.0
823cf7fffffffff,5108.0,0.0,0.0
823d17fffffffff,3012.0,0.0,0.0
823d1ffffffffff,39.0,0.0,0.0
823d37fffffffff,126.0,0.0,0.0
823d9ffffffffff,199.0,0.0,0.0
823daffffffffff,1003.0,0.0,0.0
82404ffffffffff,21.0,0.0,0.0
82424ffffffffff,6.0,0.0,0.0
82426ffffffffff,84.0,0.0,0.0
8242dffffffffff,51.0,0.0,0.0
826007fffffffff,3762.0,0.0,0.0
826017fffffffff,28677.0,0.0,0.0
82601ffffffffff,2106.0,0.0,0.0
826027fffffffff,2563.0,0.0,0.0
826037fffffffff,17438.0,0.0,0.0
82608ffffffffff,3842.0,0.0,0.0
82609ffffffffff,234.0,0.0,0.0
8260affffffffff,4192.0,0.0,0.0
8260f7fffffffff,16.0,0.0,0.0
82618ffffffffff,669.0,0.0,0.0
826197fffffffff,1.0,0.0,0.0
82619ffffffffff,56.0,0.0,0.0
826417fffffffff,13.0,0.0,0.0
826427fffffffff,3.0,0.0,1.0
826437fffffffff,70.0,0.0,0.0
826487fffffffff,9.0,0.0,0.0
82648ffffffffff,128.0,0.0,0.0
82649ffffffffff,39.0,0.0,0.0
8264a7fffffffff,2.0,0.0,0.0
8264affffffffff,14.0,0.0,0.0
826507fffffffff,224.0,0.0,0.0
82650ffffffffff,11.0,0.0,0.0
82651ffffffffff,201.0,0.0,1.0
826527fffffffff,13.0,0.0,0.0
829a07fffffffff,2.0,0.0,0.0
829a17fffffffff,45.0,0.0,0.0
829b0ffffffffff,4.0,0.0,0.0
829b47fffffffff,56.0,0.0,0.0
829b4ffffffffff,33.0,0.0,0.0
829b5ffffffffff,58.0,0.0,0.0
829b6ffffffffff,137.0,0.0,0.0
