cell_id,Lepidocolaptes squamatus,Lepidocolaptes squamatus wagleri,Lepidocolaptes squamatus squamatus
838102fffffffff,12.0,2.0,10.0
838104fffffffff,9.0,3.0,6.0
838106fffffffff,1.0,0.0,1.0
838121fffffffff,129.0,96.0,22.0
838123fffffffff,12.0,1.0,11.0
838124fffffffff,152.0,116.0,16.0
83812bfffffffff,9.0,6.0,0.0
838130fffffffff,64.0,0.0,30.0
838132fffffffff,1.0,0.0,0.0
838133fffffffff,76.0,0.0,20.0
838134fffffffff,13.0,0.0,7.0
838136fffffffff,7.0,0.0,0.0
83a806fffffffff,28.0,0.0,1.0
83a810fffffffff,21.0,0.0,6.0
83a812fffffffff,110.0,0.0,34.0
83a813fffffffff,2.0,0.0,0.0
83a814fffffffff,1.0,0.0,1.0
83a815fffffffff,4.0,0.0,0.0
83a880fffffffff,96.0,0.0,31.0
83a881fffffffff,125.0,0.0,25.0
83a882fffffffff,112.0,0.0,38.0
83a883fffffffff,2.0,0.0,1.0
83a884fffffffff,155.0,0.0,11.0
83a886fffffffff,17.0,0.0,3.0
83a889fffffffff,2.0,0.0,2.0
83a88bfffffffff,8.0,2.0,6.0
83a88efffffffff,2.0,0.0,0.0
83a891fffffffff,79.0,0.0,18.0
83a895fffffffff,4.0,0.0,0.0
83a8a0fffffffff,1.0,0.0,0.0
83a8a1fffffffff,690.0,0.0,154.0
83a8a2fffffffff,314.0,0.0,49.0
83a8a3fffffffff,133.0,0.0,26.0
83a8a5fffffffff,8.0,0.0,0.0
83a8a8fffffffff,10.0,0.0,0.0
83a8a9fffffffff,3.0,0.0,0.0
83a8aafffffffff,35.0,0.0,13.0
83a8acfffffffff,60.0,0.0,28.0
83a8adfffffffff,8.0,0.0,5.0
83a8aefffffffff,50.0,0.0,33.0
83a8b1fffffffff,2.0,0.0,2.0
