cell_id,Ramphocaenus melanurus,Ramphocaenus melanurus [rufiventris Group],Ramphocaenus melanurus [melanurus Group]
824507fffffffff,1.0,0.0,0.0
82450ffffffffff,8.0,0.0,0.0
824527fffffffff,17.0,2.0,0.0
82452ffffffffff,41.0,7.0,0.0
825f07fffffffff,1.0,0.0,1.0
825f5ffffffffff,12.0,0.0,12.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
826627fffffffff,11.0,0.0,0.0
8266b7fffffffff,14.0,10.0,3.0
8266d7fffffffff,2.0,0.0,0.0
8266dffffffffff,2.0,0.0,1.0
82674ffffffffff,37.0,0.0,13.0
826757fffffffff,4.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0
826d2ffffffffff,1.0,0.0,0.0
826d37fffffffff,5.0,0.0,0.0
826d67fffffffff,54.0,0.0,0.0
826d6ffffffffff,32.0,23.0,2.0
826d77fffffffff,1.0,0.0,0.0
82814ffffffffff,25.0,0.0,25.0
828187fffffffff,1.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0
828af7fffffffff,2.0,0.0,2.0
828b0ffffffffff,4.0,0.0,0.0
828b47fffffffff,2.0,0.0,0.0
828b4ffffffffff,1.0,0.0,0.0
828b5ffffffffff,4.0,0.0,0.0
828b87fffffffff,3.0,0.0,3.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0
828f6ffffffffff,4.0,0.0,0.0
82a837fffffffff,12.0,4.0,8.0
82a897fffffffff,3.0,0.0,3.0
