cell_id,Lagonosticta larvata,Lagonosticta larvata vinacea,Lagonosticta larvata nigricollis,Lagonosticta larvata larvata
82529ffffffffff,2.0,0.0,0.0,0.0
82545ffffffffff,1.0,0.0,0.0,0.0
8254e7fffffffff,29.0,10.0,0.0,0.0
825887fffffffff,1.0,0.0,0.0,0.0
8258a7fffffffff,11.0,0.0,0.0,0.0
8258b7fffffffff,3.0,0.0,0.0,0.0
8258cffffffffff,7.0,0.0,0.0,0.0
8258e7fffffffff,2.0,0.0,0.0,0.0
82598ffffffffff,1.0,0.0,0.0,0.0
82599ffffffffff,12.0,1.0,4.0,0.0
826a17fffffffff,12.0,0.0,0.0,0.0
826a47fffffffff,11.0,0.0,0.0,0.0
826a6ffffffffff,13.0,0.0,0.0,0.0
826acffffffffff,6.0,0.0,0.0,0.0
826aeffffffffff,8.0,0.0,0.0,0.0
826b8ffffffffff,1.0,0.0,0.0,0.0
826b9ffffffffff,1.0,0.0,0.0,0.0
826bb7fffffffff,1.0,0.0,0.0,0.0
827527fffffffff,141.0,19.0,9.0,0.0
82752ffffffffff,3.0,0.0,0.0,0.0
827537fffffffff,3.0,0.0,0.0,0.0
827acffffffffff,1.0,0.0,0.0,0.0
