cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
8445019ffffffff,8.0,0.0,0.0
8445053ffffffff,2.0,2.0,0.0
8445059ffffffff,2.0,0.0,0.0
844505bffffffff,19.0,0.0,0.0
844508dffffffff,4.0,0.0,0.0
84450c1ffffffff,10.0,0.0,0.0
84450cdffffffff,11.0,6.0,0.0
84450ebffffffff,3.0,0.0,0.0
8445203ffffffff,24.0,0.0,0.0
8445207ffffffff,13.0,0.0,0.0
844520bffffffff,6.0,0.0,0.0
844520dffffffff,85.0,0.0,0.0
8445211ffffffff,9.0,0.0,0.0
8445213ffffffff,3.0,0.0,0.0
8445215ffffffff,104.0,0.0,0.0
8445217ffffffff,37.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521dffffffff,13.0,0.0,0.0
8445221ffffffff,35.0,0.0,0.0
8445225ffffffff,118.0,4.0,0.0
844522bffffffff,3.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445233ffffffff,382.0,15.0,0.0
844523bffffffff,21.0,0.0,0.0
8445257ffffffff,36.0,0.0,0.0
8445263ffffffff,408.0,10.0,0.0
844526bffffffff,20.0,0.0,0.0
8445281ffffffff,3.0,0.0,0.0
8445283ffffffff,3.0,0.0,0.0
8445285ffffffff,17.0,0.0,0.0
8445287ffffffff,10.0,4.0,0.0
8445289ffffffff,418.0,0.0,0.0
844528dffffffff,44.0,2.0,0.0
8445295ffffffff,2.0,0.0,0.0
84452a1ffffffff,17.0,2.0,0.0
84452a5ffffffff,29.0,0.0,0.0
84452a9ffffffff,418.0,19.0,0.0
84452abffffffff,7.0,0.0,0.0
84452adffffffff,362.0,35.0,0.0
84452b5ffffffff,1.0,0.0,0.0
84452b9ffffffff,3.0,0.0,0.0
84452bdffffffff,9.0,3.0,0.0
84452c1ffffffff,12.0,0.0,0.0
84452c3ffffffff,200.0,5.0,0.0
84452c5ffffffff,25.0,4.0,0.0
84452c7ffffffff,130.0,0.0,0.0
84452c9ffffffff,15.0,0.0,0.0
84452cbffffffff,3.0,0.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d5ffffffff,11.0,0.0,0.0
84452d9ffffffff,56.0,0.0,0.0
84452dbffffffff,12.0,0.0,0.0
84452e1ffffffff,1305.0,75.0,0.0
84452e3ffffffff,296.0,12.0,0.0
84452e5ffffffff,603.0,8.0,0.0
84452e7ffffffff,79.0,2.0,0.0
84452e9ffffffff,89.0,0.0,0.0
84452ebffffffff,490.0,20.0,0.0
84452edffffffff,58.0,0.0,0.0
8445305ffffffff,3.0,0.0,0.0
8445309ffffffff,10.0,0.0,0.0
8445319ffffffff,20.0,0.0,0.0
8445343ffffffff,3.0,0.0,0.0
8445349ffffffff,3.0,0.0,0.0
8445351ffffffff,6.0,0.0,0.0
8445365ffffffff,4.0,0.0,0.0
8445649ffffffff,4.0,0.0,0.0
8449961ffffffff,6.0,4.0,0.0
8449963ffffffff,6.0,0.0,0.0
8449969ffffffff,11.0,7.0,0.0
8449981ffffffff,4.0,0.0,0.0
8449987ffffffff,23.0,1.0,0.0
84499b7ffffffff,1.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
8466183ffffffff,1.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0
8466193ffffffff,4.0,0.0,0.0
8466195ffffffff,6.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
84661b3ffffffff,44.0,2.0,0.0
84661b9ffffffff,21.0,0.0,0.0
84661bbffffffff,7.0,2.0,0.0
8466841ffffffff,3.0,0.0,3.0
8466849ffffffff,89.0,0.0,60.0
8466a33ffffffff,5.0,0.0,3.0
