cell_id,Barnardius zonarius,Barnardius zonarius semitorquatus,Barnardius zonarius zonarius,Barnardius zonarius barnardi,Barnardius zonarius macgillivrayi,Barnardius zonarius semitorquatus x zonarius,Barnardius zonarius zonarius x barnardi
84a726dffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84b865dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
84b8809ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
84b8819ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
84b8851ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
84b8855ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
84b8a15ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
84b9125ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b9ac9ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84b9b2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84be401ffffffff,30.0,0.0,0.0,16.0,0.0,0.0,0.0
84be431ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84be497ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84be4cbffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
84be4ebffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
84be533ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84be631ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84be63dffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0
84bec39ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84bece9ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
84c9901ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
84c9905ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84c9921ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84c9927ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
84c9931ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84c9959ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
84c995bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84c99ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84c9b33ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
