cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
82450ffffffffff,2.0,2.0,0.0
824527fffffffff,18.0,1.0,0.0
82452ffffffffff,9.0,0.0,0.0
82660ffffffffff,13.0,0.0,0.0
826617fffffffff,6.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
826627fffffffff,11.0,0.0,0.0
82662ffffffffff,4.0,0.0,0.0
826647fffffffff,6.0,0.0,0.0
8266a7fffffffff,7.0,2.0,0.0
8266b7fffffffff,5.0,2.0,0.0
8266e7fffffffff,2.0,0.0,0.0
82674ffffffffff,5.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
826d27fffffffff,9.0,0.0,0.0
826d2ffffffffff,3.0,1.0,0.0
826d37fffffffff,7.0,0.0,0.0
826d67fffffffff,3.0,0.0,0.0
826d6ffffffffff,30.0,17.0,0.0
82806ffffffffff,3.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828b47fffffffff,14.0,0.0,0.0
828b5ffffffffff,8.0,0.0,2.0
828b77fffffffff,5.0,0.0,0.0
828f4ffffffffff,5.0,0.0,2.0
828f6ffffffffff,2.0,0.0,0.0
82a81ffffffffff,6.0,0.0,0.0
82a867fffffffff,2.0,0.0,0.0
