cell_id,Hypsipetes ganeesa,Hypsipetes ganeesa ganeesa,Hypsipetes ganeesa humii
826017fffffffff,19.0,1.0,0.0
82601ffffffffff,1.0,0.0,0.0
826027fffffffff,22.0,0.0,0.0
826037fffffffff,347.0,22.0,0.0
82608ffffffffff,85.0,2.0,0.0
8260affffffffff,97.0,0.0,0.0
826107fffffffff,2.0,0.0,2.0
