cell_id,Chaetura cinereiventris,Chaetura cinereiventris phaeopygos,Chaetura cinereiventris occidentalis,Chaetura cinereiventris [sclateri Group],Chaetura cinereiventris cinereiventris
834530fffffffff,4.0,0.0,0.0,0.0,0.0
834532fffffffff,8.0,0.0,0.0,0.0,0.0
834536fffffffff,34.0,0.0,0.0,0.0,0.0
835e66fffffffff,142.0,0.0,0.0,0.0,0.0
835e71fffffffff,2.0,0.0,0.0,2.0,0.0
835e75fffffffff,3.0,0.0,0.0,0.0,0.0
835f08fffffffff,1.0,0.0,0.0,0.0,0.0
835f09fffffffff,6.0,0.0,0.0,0.0,0.0
835f29fffffffff,10.0,0.0,0.0,0.0,0.0
835f2bfffffffff,119.0,0.0,0.0,0.0,0.0
835f2dfffffffff,3.0,0.0,0.0,0.0,0.0
835f40fffffffff,11.0,0.0,0.0,0.0,0.0
835f41fffffffff,6.0,0.0,0.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0,0.0,0.0
835f4afffffffff,28.0,0.0,0.0,0.0,0.0
835f4bfffffffff,11.0,0.0,0.0,0.0,0.0
835f58fffffffff,837.0,0.0,0.0,0.0,0.0
835f59fffffffff,24.0,0.0,0.0,0.0,0.0
835f5bfffffffff,426.0,0.0,0.0,0.0,0.0
835f5dfffffffff,4.0,0.0,0.0,0.0,0.0
835f71fffffffff,27.0,0.0,0.0,0.0,0.0
835f75fffffffff,8.0,0.0,0.0,0.0,0.0
836601fffffffff,3.0,0.0,0.0,0.0,0.0
836602fffffffff,5.0,0.0,0.0,0.0,0.0
836603fffffffff,6.0,0.0,0.0,0.0,0.0
836606fffffffff,7.0,0.0,0.0,0.0,0.0
836608fffffffff,129.0,0.0,0.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0,0.0,0.0
83660afffffffff,74.0,0.0,0.0,0.0,0.0
83660bfffffffff,18.0,0.0,0.0,0.0,0.0
83660cfffffffff,12.0,0.0,0.0,0.0,0.0
83660dfffffffff,36.0,0.0,0.0,0.0,0.0
83660efffffffff,4.0,0.0,0.0,0.0,0.0
836611fffffffff,104.0,0.0,0.0,0.0,0.0
836615fffffffff,8.0,0.0,0.0,0.0,0.0
836618fffffffff,16.0,0.0,0.0,0.0,0.0
836619fffffffff,156.0,0.0,0.0,0.0,0.0
83661afffffffff,23.0,0.0,0.0,0.0,0.0
83661bfffffffff,373.0,0.0,0.0,0.0,0.0
83661cfffffffff,17.0,0.0,0.0,0.0,0.0
83661dfffffffff,26.0,0.0,0.0,0.0,0.0
83661efffffffff,34.0,0.0,0.0,0.0,0.0
836620fffffffff,123.0,0.0,0.0,0.0,0.0
836621fffffffff,19.0,0.0,0.0,0.0,0.0
836622fffffffff,90.0,0.0,0.0,0.0,0.0
836623fffffffff,4.0,0.0,0.0,0.0,0.0
836629fffffffff,16.0,0.0,0.0,0.0,0.0
83662bfffffffff,4.0,0.0,0.0,0.0,0.0
83662dfffffffff,30.0,0.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0,0.0
836640fffffffff,1.0,0.0,0.0,0.0,0.0
836641fffffffff,659.0,0.0,0.0,0.0,0.0
836644fffffffff,7.0,0.0,0.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0,0.0,0.0
836648fffffffff,12.0,0.0,0.0,0.0,0.0
83664efffffffff,5.0,0.0,0.0,0.0,0.0
836652fffffffff,84.0,0.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0,0.0
836654fffffffff,11.0,0.0,0.0,0.0,0.0
836656fffffffff,48.0,0.0,0.0,0.0,0.0
83665afffffffff,247.0,0.0,0.0,0.0,0.0
83665bfffffffff,147.0,0.0,0.0,0.0,0.0
83665efffffffff,3.0,0.0,0.0,0.0,0.0
836663fffffffff,7.0,0.0,0.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0,0.0,0.0
836670fffffffff,3.0,0.0,0.0,0.0,0.0
836672fffffffff,14.0,0.0,0.0,0.0,0.0
836673fffffffff,5.0,0.0,0.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0,0.0,0.0
8366a6fffffffff,32.0,2.0,0.0,0.0,0.0
8366b4fffffffff,65.0,0.0,0.0,0.0,0.0
8366b5fffffffff,318.0,19.0,0.0,0.0,0.0
8366c0fffffffff,263.0,0.0,0.0,0.0,0.0
8366c1fffffffff,18.0,0.0,0.0,0.0,0.0
8366c2fffffffff,228.0,0.0,0.0,0.0,0.0
8366c4fffffffff,47.0,0.0,0.0,0.0,0.0
8366c5fffffffff,108.0,0.0,0.0,0.0,0.0
8366c6fffffffff,81.0,0.0,0.0,0.0,0.0
8366c9fffffffff,10.0,0.0,0.0,0.0,0.0
8366cefffffffff,92.0,0.0,0.0,0.0,0.0
8366d0fffffffff,219.0,0.0,15.0,0.0,0.0
8366d1fffffffff,137.0,0.0,0.0,0.0,0.0
8366d2fffffffff,70.0,0.0,11.0,0.0,0.0
8366d3fffffffff,1398.0,0.0,136.0,0.0,0.0
8366d8fffffffff,108.0,0.0,0.0,12.0,0.0
8366dafffffffff,157.0,0.0,0.0,53.0,0.0
8366dbfffffffff,19.0,0.0,0.0,0.0,0.0
8366dcfffffffff,530.0,0.0,0.0,58.0,0.0
8366ddfffffffff,79.0,0.0,0.0,1.0,0.0
8366defffffffff,964.0,0.0,0.0,132.0,0.0
8366e0fffffffff,128.0,0.0,0.0,0.0,0.0
8366e1fffffffff,91.0,0.0,0.0,0.0,0.0
8366e2fffffffff,5.0,0.0,0.0,0.0,0.0
8366e3fffffffff,79.0,0.0,0.0,0.0,0.0
8366e4fffffffff,52.0,0.0,0.0,0.0,0.0
8366e5fffffffff,323.0,0.0,0.0,0.0,0.0
8366e6fffffffff,365.0,0.0,0.0,0.0,0.0
8366e8fffffffff,21.0,0.0,0.0,0.0,0.0
8366e9fffffffff,16.0,0.0,0.0,0.0,0.0
8366eafffffffff,5.0,0.0,0.0,0.0,0.0
8366ecfffffffff,157.0,0.0,0.0,0.0,0.0
8366eefffffffff,43.0,0.0,0.0,0.0,0.0
8366f0fffffffff,145.0,0.0,0.0,0.0,0.0
8366f1fffffffff,92.0,0.0,0.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0,0.0,0.0
8366f5fffffffff,76.0,0.0,0.0,0.0,0.0
836741fffffffff,7.0,0.0,0.0,0.0,0.0
836742fffffffff,6.0,0.0,0.0,0.0,0.0
836743fffffffff,109.0,0.0,0.0,1.0,0.0
83674cfffffffff,51.0,0.0,0.0,0.0,0.0
83674efffffffff,36.0,0.0,0.0,1.0,0.0
83675cfffffffff,10.0,0.0,0.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0,0.0,0.0
836793fffffffff,11.0,0.0,0.0,0.0,0.0
836796fffffffff,13.0,0.0,0.0,0.0,0.0
83679afffffffff,3563.0,0.0,0.0,0.0,0.0
