cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
8426017ffffffff,1.0,0.0,0.0
8426019ffffffff,2.0,0.0,0.0
8426033ffffffff,1.0,0.0,0.0
8426043ffffffff,2.0,0.0,0.0
842605dffffffff,2.0,0.0,0.0
8426063ffffffff,2.0,0.0,0.0
84260a1ffffffff,8.0,0.0,0.0
84260a9ffffffff,2.0,0.0,0.0
84260adffffffff,2.0,0.0,0.0
84260b3ffffffff,2.0,0.0,0.0
84260b9ffffffff,106.0,0.0,0.0
84260bbffffffff,13.0,0.0,0.0
84260c9ffffffff,1.0,0.0,0.0
84260cbffffffff,1.0,0.0,0.0
84260d9ffffffff,2.0,0.0,0.0
84260ddffffffff,2.0,0.0,0.0
84260e9ffffffff,4.0,0.0,0.0
8426191ffffffff,4.0,0.0,0.0
8426199ffffffff,4.0,0.0,0.0
842619dffffffff,6.0,0.0,0.0
84261d3ffffffff,1.0,0.0,0.0
84261d9ffffffff,5.0,0.0,0.0
84261ddffffffff,2.0,0.0,0.0
8426201ffffffff,3.0,0.0,0.0
8426203ffffffff,2.0,0.0,0.0
8426205ffffffff,26.0,0.0,0.0
8426207ffffffff,2.0,0.0,0.0
8426219ffffffff,34.0,0.0,0.0
842621dffffffff,4.0,0.0,0.0
8426223ffffffff,2.0,0.0,0.0
8426227ffffffff,2.0,0.0,0.0
842622bffffffff,4.0,0.0,0.0
8426231ffffffff,3.0,0.0,0.0
8426235ffffffff,2.0,0.0,0.0
8426237ffffffff,6.0,0.0,0.0
8426239ffffffff,2.0,0.0,0.0
842623dffffffff,5.0,0.0,0.0
8426245ffffffff,2.0,0.0,0.0
8426247ffffffff,1.0,0.0,0.0
8426249ffffffff,2.0,0.0,0.0
842624dffffffff,2.0,0.0,0.0
8426251ffffffff,2.0,0.0,0.0
8426255ffffffff,1.0,0.0,0.0
8426261ffffffff,4.0,0.0,0.0
8426263ffffffff,2.0,0.0,0.0
8426269ffffffff,9.0,0.0,0.0
842626bffffffff,12.0,0.0,0.0
8426287ffffffff,4.0,0.0,0.0
842628dffffffff,3.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0
84262a1ffffffff,19.0,0.0,0.0
84262a7ffffffff,2.0,0.0,0.0
84262adffffffff,2.0,0.0,0.0
84262b3ffffffff,2.0,0.0,0.0
84262b7ffffffff,1.0,0.0,0.0
84262b9ffffffff,2.0,0.0,0.0
84262c3ffffffff,8.0,0.0,0.0
