cell_id,Sylvietta brachyura,Sylvietta brachyura brachyura/carnapi,Sylvietta brachyura leucopsis
825287fffffffff,7.0,0.0,0.0
82528ffffffffff,3.0,0.0,0.0
82529ffffffffff,29.0,0.0,0.0
8252cffffffffff,3.0,0.0,0.0
8252d7fffffffff,20.0,0.0,0.0
825407fffffffff,18.0,7.0,0.0
82540ffffffffff,3.0,0.0,0.0
825417fffffffff,145.0,47.0,0.0
82541ffffffffff,93.0,9.0,0.0
82544ffffffffff,1.0,0.0,0.0
825457fffffffff,2.0,1.0,0.0
8254affffffffff,226.0,16.0,0.0
8254e7fffffffff,105.0,34.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,120.0,14.0,0.0
825857fffffffff,2.0,0.0,0.0
82585ffffffffff,2.0,0.0,0.0
825897fffffffff,1.0,0.0,0.0
8258a7fffffffff,2.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258cffffffffff,5.0,0.0,0.0
8258dffffffffff,10.0,0.0,0.0
8258e7fffffffff,65.0,0.0,0.0
82598ffffffffff,1.0,0.0,0.0
825997fffffffff,3.0,0.0,0.0
82599ffffffffff,35.0,3.0,0.0
826a17fffffffff,1.0,0.0,0.0
826a47fffffffff,2.0,0.0,0.0
826a4ffffffffff,4.0,0.0,0.0
826a5ffffffffff,38.0,0.0,0.0
826a67fffffffff,3.0,0.0,0.0
826a6ffffffffff,14.0,0.0,0.0
826ac7fffffffff,41.0,0.0,0.0
826acffffffffff,23.0,0.0,0.0
826ae7fffffffff,4.0,0.0,0.0
826aeffffffffff,155.0,0.0,0.0
826b17fffffffff,5.0,0.0,0.0
82750ffffffffff,1.0,0.0,0.0
827527fffffffff,135.0,6.0,0.0
82752ffffffffff,59.0,6.0,0.0
827537fffffffff,1.0,0.0,0.0
827577fffffffff,16.0,0.0,0.0
827a47fffffffff,284.0,0.0,22.0
827a4ffffffffff,232.0,0.0,0.0
827a57fffffffff,8.0,0.0,0.0
827a5ffffffffff,3.0,0.0,0.0
827a67fffffffff,239.0,0.0,0.0
827a6ffffffffff,13.0,0.0,0.0
827a77fffffffff,8.0,0.0,0.0
827ac7fffffffff,5.0,0.0,0.0
827acffffffffff,49.0,0.0,0.0
827adffffffffff,176.0,0.0,0.0
827aeffffffffff,71.0,0.0,0.0
827b4ffffffffff,13.0,0.0,0.0
827b5ffffffffff,1.0,0.0,0.0
82828ffffffffff,2.0,0.0,0.0
829697fffffffff,113.0,0.0,0.0
