cell_id,Megascops koepckeae,Megascops koepckeae koepckeae,Megascops koepckeae hockingi
838b6cfffffffff,3.0,0.0,0.0
838e65fffffffff,12.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0
838e6dfffffffff,160.0,0.0,25.0
838f42fffffffff,71.0,13.0,0.0
838f51fffffffff,1.0,0.0,0.0
838f55fffffffff,130.0,11.0,0.0
838f58fffffffff,6.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0
838f5efffffffff,6.0,0.0,0.0
838f72fffffffff,3.0,0.0,0.0
