cell_id,Thamnophilus punctatus,Thamnophilus punctatus punctatus/interpositus,Thamnophilus punctatus leucogaster/huallagae
845f00bffffffff,11.0,0.0,0.0
845f011ffffffff,2.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0
845f035ffffffff,6.0,0.0,0.0
845f03dffffffff,3.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f091ffffffff,1.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f09dffffffff,3.0,0.0,0.0
845f0d7ffffffff,3.0,0.0,0.0
845f0d9ffffffff,2.0,0.0,0.0
845f105ffffffff,4.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f113ffffffff,1.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0
845f129ffffffff,8.0,0.0,0.0
845f12bffffffff,21.0,0.0,0.0
845f131ffffffff,1.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0
845f13bffffffff,2.0,0.0,0.0
845f13dffffffff,8.0,0.0,0.0
845f143ffffffff,8.0,0.0,0.0
845f161ffffffff,11.0,0.0,0.0
845f1c3ffffffff,5.0,0.0,0.0
845f1cbffffffff,55.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f223ffffffff,5.0,0.0,0.0
845f227ffffffff,4.0,0.0,0.0
845f291ffffffff,1.0,0.0,0.0
845f295ffffffff,30.0,0.0,0.0
845f299ffffffff,1.0,0.0,0.0
845f29dffffffff,48.0,0.0,0.0
845f2b1ffffffff,14.0,0.0,0.0
845f2b3ffffffff,8.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0
845f2bbffffffff,139.0,0.0,0.0
845f2d5ffffffff,2.0,0.0,0.0
845f2d7ffffffff,6.0,0.0,0.0
845f403ffffffff,6.0,0.0,0.0
845f407ffffffff,1.0,0.0,0.0
845f40dffffffff,2.0,0.0,0.0
845f42bffffffff,15.0,1.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f4a9ffffffff,6.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0
845f50bffffffff,6.0,0.0,0.0
845f5dbffffffff,2.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,6.0,6.0,0.0
845f689ffffffff,5.0,1.0,0.0
845f68bffffffff,21.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f711ffffffff,2.0,0.0,0.0
845f713ffffffff,4.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0
845f755ffffffff,3.0,0.0,0.0
845f759ffffffff,43.0,0.0,0.0
845f75dffffffff,15.0,2.0,0.0
845f767ffffffff,1.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0
84660d9ffffffff,1.0,0.0,0.0
8466415ffffffff,7.0,0.0,0.0
8466419ffffffff,2.0,0.0,0.0
846641dffffffff,10.0,0.0,0.0
8466451ffffffff,1.0,0.0,0.0
8466509ffffffff,2.0,0.0,0.0
8466529ffffffff,6.0,0.0,0.0
846652dffffffff,49.0,0.0,0.0
846654dffffffff,2.0,0.0,0.0
8466565ffffffff,5.0,0.0,0.0
846656dffffffff,32.0,0.0,0.0
846661dffffffff,3.0,3.0,0.0
8466631ffffffff,3.0,0.0,0.0
8466633ffffffff,6.0,0.0,0.0
8466637ffffffff,18.0,0.0,0.0
84666a1ffffffff,4.0,0.0,0.0
8466725ffffffff,15.0,0.0,0.0
8466727ffffffff,7.0,0.0,0.0
8466e03ffffffff,33.0,0.0,0.0
8466e0bffffffff,49.0,0.0,0.0
8466e11ffffffff,38.0,0.0,0.0
8466e15ffffffff,74.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0
8466e1dffffffff,39.0,0.0,0.0
8466e39ffffffff,29.0,0.0,0.0
8466e3bffffffff,6.0,0.0,0.0
8466e51ffffffff,11.0,0.0,0.0
8466e53ffffffff,3.0,0.0,0.0
8466e55ffffffff,5.0,0.0,0.0
8466e57ffffffff,772.0,0.0,0.0
8466e59ffffffff,16.0,0.0,0.0
8466e5bffffffff,2.0,0.0,0.0
84804c1ffffffff,1.0,0.0,0.0
84804cbffffffff,8.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0
84806a3ffffffff,3.0,0.0,0.0
84806a7ffffffff,1.0,0.0,0.0
84806abffffffff,6.0,0.0,0.0
84806b7ffffffff,5.0,0.0,0.0
848a5a1ffffffff,1.0,1.0,0.0
848a8d9ffffffff,2.0,0.0,0.0
848a9c9ffffffff,1.0,0.0,0.0
848aa97ffffffff,2.0,0.0,0.0
848ad13ffffffff,36.0,0.0,0.0
848ad51ffffffff,1.0,0.0,0.0
848ada9ffffffff,1.0,0.0,0.0
848adb9ffffffff,1.0,0.0,0.0
