cell_id,Euphonia laniirostris,Euphonia laniirostris melanura/crassirostris,Euphonia laniirostris [laniirostris Group]
82660ffffffffff,8.0,0.0,0.0
826617fffffffff,8.0,0.0,0.0
82661ffffffffff,9.0,0.0,0.0
826627fffffffff,1.0,1.0,0.0
8266a7fffffffff,17.0,0.0,0.0
8266b7fffffffff,21.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0
8266d7fffffffff,10.0,2.0,4.0
8266dffffffffff,4.0,0.0,0.0
8266e7fffffffff,5.0,1.0,0.0
8266effffffffff,1.0,0.0,0.0
8266f7fffffffff,3.0,2.0,0.0
82674ffffffffff,1.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
826d6ffffffffff,11.0,0.0,0.0
828af7fffffffff,1.0,1.0,0.0
828b27fffffffff,2.0,0.0,2.0
828b67fffffffff,5.0,0.0,5.0
828b77fffffffff,2.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0
828f0ffffffffff,5.0,0.0,0.0
828f2ffffffffff,6.0,0.0,0.0
828f57fffffffff,5.0,0.0,0.0
