cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
84074edffffffff,8.0,0.0,0.0,0.0,0.0
84075d1ffffffff,2.0,0.0,0.0,0.0,0.0
8407623ffffffff,2.0,0.0,0.0,0.0,0.0
8408863ffffffff,2.0,2.0,0.0,0.0,0.0
840886bffffffff,2.0,2.0,0.0,0.0,0.0
8408985ffffffff,2.0,0.0,0.0,0.0,0.0
84089a1ffffffff,1.0,1.0,0.0,0.0,0.0
8408a15ffffffff,2.0,2.0,0.0,0.0,0.0
8408c25ffffffff,2.0,2.0,0.0,0.0,0.0
8409997ffffffff,1.0,1.0,0.0,0.0,0.0
8411811ffffffff,4.0,4.0,0.0,0.0,0.0
8411813ffffffff,7.0,7.0,0.0,0.0,0.0
841181dffffffff,5.0,5.0,0.0,0.0,0.0
84118e9ffffffff,10.0,10.0,0.0,0.0,0.0
8411aa7ffffffff,3.0,3.0,0.0,0.0,0.0
8411abdffffffff,2.0,2.0,0.0,0.0,0.0
8411ae3ffffffff,17.0,17.0,0.0,0.0,0.0
8411ae7ffffffff,15.0,15.0,0.0,0.0,0.0
841592bffffffff,2.0,0.0,0.0,0.0,0.0
841828bffffffff,4.0,0.0,0.0,0.0,0.0
84182e9ffffffff,1.0,0.0,0.0,0.0,0.0
8418495ffffffff,4.0,0.0,0.0,0.0,0.0
84184b7ffffffff,6.0,2.0,0.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0,0.0
84185b3ffffffff,25.0,25.0,0.0,0.0,0.0
84185b5ffffffff,6.0,6.0,0.0,0.0,0.0
84185bbffffffff,11.0,7.0,0.0,0.0,0.0
8419427ffffffff,3.0,2.0,0.0,0.0,0.0
8419439ffffffff,2.0,0.0,0.0,0.0,0.0
84194ddffffffff,1.0,1.0,0.0,0.0,0.0
84194ebffffffff,2.0,0.0,0.0,0.0,0.0
8419507ffffffff,2.0,2.0,0.0,0.0,0.0
84195b9ffffffff,2.0,2.0,0.0,0.0,0.0
84195bbffffffff,5.0,0.0,0.0,0.0,0.0
