cell_id,Parus major,Parus major [major Group],Parus major [bokharensis Group]
830120fffffffff,2.0,0.0,0.0
830122fffffffff,2.0,0.0,0.0
830124fffffffff,3.0,0.0,0.0
830126fffffffff,13.0,0.0,0.0
830130fffffffff,1.0,0.0,0.0
830131fffffffff,8.0,0.0,0.0
830134fffffffff,16.0,0.0,0.0
830135fffffffff,85.0,14.0,0.0
830802fffffffff,17.0,0.0,0.0
830803fffffffff,3.0,0.0,0.0
830806fffffffff,40.0,0.0,0.0
830810fffffffff,19.0,1.0,0.0
830811fffffffff,14.0,7.0,0.0
830812fffffffff,26.0,4.0,0.0
830813fffffffff,26.0,5.0,0.0
830814fffffffff,10.0,0.0,0.0
830815fffffffff,194.0,9.0,0.0
830816fffffffff,12.0,1.0,0.0
830819fffffffff,8.0,0.0,0.0
83081dfffffffff,1.0,1.0,0.0
83081efffffffff,42.0,0.0,0.0
830828fffffffff,1.0,0.0,0.0
830829fffffffff,10.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
83082bfffffffff,4.0,2.0,0.0
830830fffffffff,2.0,0.0,0.0
830832fffffffff,7.0,0.0,0.0
830833fffffffff,28.0,2.0,0.0
830836fffffffff,49.0,2.0,0.0
830880fffffffff,160.0,47.0,0.0
830882fffffffff,99.0,46.0,0.0
830883fffffffff,121.0,4.0,0.0
830884fffffffff,88.0,20.0,0.0
830885fffffffff,40.0,5.0,0.0
830886fffffffff,1322.0,476.0,0.0
830888fffffffff,108.0,21.0,0.0
830889fffffffff,2.0,0.0,0.0
83088afffffffff,30.0,12.0,0.0
83088bfffffffff,5.0,0.0,0.0
83088dfffffffff,1.0,0.0,0.0
83088efffffffff,73.0,60.0,0.0
830890fffffffff,23.0,0.0,0.0
830893fffffffff,83.0,1.0,0.0
830895fffffffff,242.0,166.0,0.0
830896fffffffff,48.0,16.0,0.0
830898fffffffff,96.0,1.0,0.0
830899fffffffff,865.0,148.0,0.0
83089afffffffff,387.0,5.0,0.0
83089bfffffffff,286.0,16.0,0.0
83089cfffffffff,13.0,0.0,0.0
83089dfffffffff,558.0,4.0,0.0
83089efffffffff,116.0,0.0,0.0
8308a0fffffffff,12.0,4.0,0.0
8308a1fffffffff,4.0,2.0,0.0
8308a2fffffffff,50.0,2.0,0.0
8308a3fffffffff,27.0,5.0,0.0
8308a4fffffffff,59.0,19.0,0.0
8308a5fffffffff,24.0,8.0,0.0
8308a6fffffffff,20.0,4.0,0.0
8308a8fffffffff,5.0,0.0,0.0
8308a9fffffffff,2.0,0.0,0.0
8308acfffffffff,4.0,0.0,0.0
8308adfffffffff,2.0,2.0,0.0
8308aefffffffff,5.0,0.0,0.0
8308b0fffffffff,75.0,12.0,0.0
8308b1fffffffff,211.0,8.0,0.0
8308b2fffffffff,12.0,1.0,0.0
8308b3fffffffff,87.0,8.0,0.0
8308b4fffffffff,45.0,8.0,0.0
8308b5fffffffff,24.0,4.0,0.0
8308b6fffffffff,44.0,5.0,0.0
8308c0fffffffff,5.0,0.0,0.0
8308c1fffffffff,36.0,4.0,0.0
8308c2fffffffff,37.0,9.0,0.0
8308c3fffffffff,29.0,4.0,0.0
8308c6fffffffff,3.0,0.0,0.0
8308c8fffffffff,80.0,4.0,0.0
8308c9fffffffff,99.0,20.0,0.0
8308ccfffffffff,1.0,0.0,0.0
8308cdfffffffff,163.0,13.0,0.0
8308cefffffffff,19.0,0.0,0.0
8308d0fffffffff,7.0,0.0,0.0
8308d1fffffffff,191.0,14.0,0.0
8308d2fffffffff,10.0,2.0,0.0
8308d3fffffffff,8.0,0.0,0.0
8308d4fffffffff,38.0,1.0,0.0
8308d5fffffffff,53.0,4.0,0.0
8308d6fffffffff,2.0,0.0,0.0
8308d8fffffffff,237.0,9.0,0.0
8308dafffffffff,4.0,2.0,0.0
8308dbfffffffff,2.0,0.0,0.0
8308dcfffffffff,4.0,0.0,0.0
8308ddfffffffff,24.0,4.0,0.0
8308defffffffff,4.0,0.0,0.0
8308e3fffffffff,4.0,0.0,0.0
8308e5fffffffff,3.0,0.0,0.0
8308e8fffffffff,3.0,1.0,0.0
8308e9fffffffff,3.0,0.0,0.0
8308eafffffffff,25.0,2.0,0.0
8308ecfffffffff,31.0,2.0,0.0
8308edfffffffff,95.0,6.0,0.0
8308eefffffffff,7.0,0.0,0.0
8308f0fffffffff,8.0,0.0,0.0
8308f2fffffffff,26.0,13.0,0.0
8308f3fffffffff,1.0,0.0,0.0
8308f4fffffffff,7.0,0.0,0.0
8308f6fffffffff,38.0,1.0,0.0
83094afffffffff,4.0,0.0,0.0
83094bfffffffff,35.0,7.0,0.0
830958fffffffff,21.0,0.0,0.0
830959fffffffff,7.0,0.0,0.0
83095afffffffff,30.0,0.0,0.0
83095bfffffffff,13.0,0.0,0.0
830980fffffffff,31.0,0.0,0.0
830981fffffffff,87.0,4.0,0.0
830982fffffffff,217.0,8.0,0.0
830983fffffffff,10.0,0.0,0.0
830988fffffffff,27.0,1.0,0.0
830989fffffffff,17.0,3.0,0.0
83098afffffffff,14.0,0.0,0.0
83098bfffffffff,14.0,0.0,0.0
83098cfffffffff,57.0,0.0,0.0
83098dfffffffff,31.0,2.0,0.0
83098efffffffff,19.0,1.0,0.0
830991fffffffff,513.0,10.0,0.0
830993fffffffff,2.0,0.0,0.0
830998fffffffff,62.0,6.0,0.0
830999fffffffff,641.0,137.0,0.0
83099afffffffff,2.0,0.0,0.0
83099bfffffffff,238.0,10.0,0.0
83099cfffffffff,19.0,0.0,0.0
