cell_id,Terpsiphone cinnamomea,Terpsiphone cinnamomea unirufa,Terpsiphone cinnamomea cinnamomea/talautensis
84684e5ffffffff,5.0,0.0,5.0
8468665ffffffff,4.0,2.0,0.0
846866dffffffff,1.0,0.0,0.0
84696d7ffffffff,1.0,1.0,0.0
