cell_id,Barnardius zonarius,Barnardius zonarius semitorquatus,Barnardius zonarius zonarius,Barnardius zonarius barnardi,Barnardius zonarius macgillivrayi,Barnardius zonarius semitorquatus x zonarius,Barnardius zonarius zonarius x barnardi
839492fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8394c9fffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
839c64fffffffff,14.0,0.0,0.0,0.0,7.0,0.0,0.0
839c69fffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0
839d43fffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0
839d44fffffffff,93.0,0.0,0.0,36.0,11.0,0.0,0.0
839d45fffffffff,13.0,0.0,0.0,9.0,0.0,0.0,0.0
839d48fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
839d4afffffffff,142.0,0.0,0.0,0.0,109.0,0.0,0.0
839d4cfffffffff,20.0,0.0,0.0,3.0,6.0,0.0,0.0
839d4efffffffff,7.0,0.0,0.0,0.0,4.0,0.0,0.0
839d50fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839d5dfffffffff,33.0,0.0,0.0,0.0,22.0,0.0,0.0
839d60fffffffff,19.0,0.0,0.0,9.0,0.0,0.0,0.0
839d62fffffffff,12.0,0.0,0.0,5.0,0.0,0.0,0.0
839d63fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
839d65fffffffff,14.0,0.0,0.0,14.0,0.0,0.0,0.0
839d66fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
839d70fffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
839d71fffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
839d75fffffffff,13.0,0.0,0.0,5.0,0.0,0.0,0.0
83a606fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83a610fffffffff,28.0,0.0,3.0,0.0,0.0,0.0,0.0
83a611fffffffff,14.0,0.0,1.0,0.0,0.0,0.0,0.0
83a612fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
