cell_id,Edolisoma timoriense,Edolisoma timoriense emancipatum/kalaotuae,Edolisoma timoriense timoriense
849404dffffffff,7.0,0.0,0.0
8494231ffffffff,3.0,0.0,0.0
8494235ffffffff,2.0,0.0,0.0
8494237ffffffff,13.0,0.0,0.0
8494289ffffffff,4.0,0.0,0.0
84942c1ffffffff,14.0,0.0,0.0
84942cdffffffff,4.0,0.0,0.0
84942d3ffffffff,1.0,0.0,0.0
84942d7ffffffff,1.0,0.0,0.0
