cell_id,Onychognathus walleri,Onychognathus walleri preussi,Onychognathus walleri elgonensis,Onychognathus walleri walleri
8358d3fffffffff,44.0,44.0,0.0,0.0
836ac0fffffffff,7.0,0.0,0.0,0.0
836ac1fffffffff,10.0,0.0,2.0,0.0
836ac3fffffffff,3.0,0.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0,0.0
836ad1fffffffff,1.0,0.0,0.0,0.0
836adcfffffffff,339.0,0.0,77.0,0.0
836adefffffffff,167.0,0.0,0.0,0.0
837a40fffffffff,6.0,0.0,0.0,0.0
837a45fffffffff,223.0,0.0,0.0,0.0
837a48fffffffff,9.0,0.0,0.0,0.0
837a4cfffffffff,5.0,0.0,0.0,0.0
837a65fffffffff,6.0,0.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0,0.0
837b48fffffffff,70.0,0.0,0.0,11.0
837b4bfffffffff,108.0,0.0,0.0,18.0
8382d0fffffffff,32.0,17.0,0.0,0.0
8382d1fffffffff,16.0,14.0,0.0,0.0
8382d2fffffffff,6.0,0.0,0.0,0.0
8382d3fffffffff,28.0,15.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0,0.0
839692fffffffff,93.0,0.0,0.0,0.0
839693fffffffff,41.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0
8396a5fffffffff,12.0,0.0,0.0,2.0
8396b0fffffffff,13.0,0.0,0.0,0.0
8396b4fffffffff,1.0,0.0,0.0,0.0
8396b6fffffffff,15.0,0.0,0.0,0.0
8396d2fffffffff,2.0,0.0,0.0,0.0
