cell_id,Chaetura cinereiventris,Chaetura cinereiventris phaeopygos,Chaetura cinereiventris occidentalis,Chaetura cinereiventris [sclateri Group],Chaetura cinereiventris cinereiventris
845e667ffffffff,7.0,0.0,0.0,0.0,0.0
845e719ffffffff,3.0,0.0,0.0,0.0,0.0
845e71bffffffff,9.0,0.0,0.0,0.0,0.0
845f42bffffffff,11.0,0.0,0.0,0.0,0.0
845f583ffffffff,20.0,0.0,0.0,5.0,0.0
845f5b5ffffffff,17.0,0.0,0.0,3.0,0.0
845f5b9ffffffff,6.0,0.0,0.0,6.0,0.0
845f711ffffffff,1.0,0.0,0.0,1.0,0.0
8466213ffffffff,2.0,0.0,0.0,0.0,0.0
8466217ffffffff,4.0,0.0,0.0,0.0,0.0
846623bffffffff,2.0,0.0,0.0,0.0,0.0
8466293ffffffff,3.0,0.0,0.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0,0.0,0.0
84665abffffffff,3.0,0.0,0.0,0.0,0.0
8466a05ffffffff,14.0,0.0,0.0,0.0,0.0
8466a65ffffffff,3.0,0.0,0.0,0.0,0.0
8466a67ffffffff,2.0,0.0,0.0,0.0,0.0
8466b49ffffffff,59.0,0.0,0.0,0.0,0.0
8466b4dffffffff,41.0,0.0,0.0,0.0,0.0
8466b59ffffffff,2.0,0.0,0.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8466de3ffffffff,3.0,0.0,0.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0,0.0
8467413ffffffff,3.0,0.0,0.0,0.0,0.0
8467417ffffffff,1.0,0.0,0.0,0.0,0.0
8467425ffffffff,35.0,0.0,0.0,0.0,0.0
84674e5ffffffff,2.0,0.0,0.0,0.0,0.0
84674edffffffff,1.0,0.0,0.0,1.0,0.0
846758dffffffff,2.0,0.0,0.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0,0.0,0.0
84679a1ffffffff,2.0,0.0,0.0,0.0,0.0
84679a5ffffffff,18.0,4.0,0.0,0.0,0.0
84679a7ffffffff,8.0,0.0,0.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0,0.0,0.0
846d691ffffffff,2.0,2.0,0.0,0.0,0.0
846d6d1ffffffff,5.0,0.0,0.0,0.0,0.0
8481341ffffffff,1.0,0.0,0.0,0.0,0.0
8481343ffffffff,6.0,0.0,0.0,0.0,0.0
848134dffffffff,2.0,0.0,0.0,0.0,0.0
8481423ffffffff,3.0,0.0,0.0,0.0,0.0
8481431ffffffff,3.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,4.0,0.0,4.0,0.0,0.0
848f0d3ffffffff,12.0,0.0,0.0,0.0,0.0
848f0d7ffffffff,1.0,0.0,1.0,0.0,0.0
848f289ffffffff,4.0,0.0,4.0,0.0,0.0
848f729ffffffff,3.0,0.0,0.0,0.0,0.0
84a8123ffffffff,2.0,0.0,0.0,0.0,0.0
84a8143ffffffff,2.0,0.0,0.0,0.0,0.0
84a81b3ffffffff,1.0,0.0,0.0,0.0,0.0
84a8353ffffffff,1.0,0.0,0.0,0.0,0.0
84a883bffffffff,4.0,0.0,0.0,0.0,0.0
84a8917ffffffff,3.0,0.0,0.0,0.0,2.0
84a8a3dffffffff,9.0,0.0,0.0,0.0,0.0
84a8acdffffffff,3.0,0.0,0.0,0.0,0.0
84a9411ffffffff,2.0,0.0,0.0,0.0,0.0
84a94e7ffffffff,4.0,0.0,0.0,0.0,0.0
84a9503ffffffff,2.0,0.0,0.0,0.0,0.0
84a9531ffffffff,3.0,0.0,0.0,0.0,0.0
84a9533ffffffff,2.0,0.0,0.0,0.0,0.0
84a953bffffffff,20.0,0.0,0.0,0.0,0.0
84b324bffffffff,1.0,0.0,0.0,0.0,0.0
