cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
823c87fffffffff,75.0,0.0,0.0
823c8ffffffffff,50.0,0.0,0.0
823c97fffffffff,68.0,0.0,0.0
823ca7fffffffff,14.0,0.0,0.0
823caffffffffff,35.0,0.0,0.0
823cb7fffffffff,363.0,0.0,0.0
823cf7fffffffff,5.0,0.0,0.0
823d17fffffffff,79.0,0.0,0.0
823d87fffffffff,10.0,0.0,0.0
823d8ffffffffff,77.0,0.0,0.0
823d97fffffffff,182.0,0.0,0.0
823d9ffffffffff,491.0,0.0,0.0
823daffffffffff,31.0,0.0,0.0
823db7fffffffff,161.0,0.0,0.0
8242c7fffffffff,161.0,0.0,0.0
8242cffffffffff,541.0,0.0,0.0
8242dffffffffff,191.0,0.0,0.0
8242effffffffff,48.0,0.0,0.0
826007fffffffff,85.0,0.0,0.0
826017fffffffff,4601.0,0.0,0.0
82601ffffffffff,1.0,0.0,0.0
826027fffffffff,32.0,0.0,0.0
826037fffffffff,1749.0,0.0,0.0
826087fffffffff,63.0,0.0,0.0
82608ffffffffff,1039.0,0.0,0.0
826097fffffffff,296.0,0.0,0.0
82609ffffffffff,197.0,0.0,0.0
8260a7fffffffff,722.0,0.0,0.0
8260affffffffff,379.0,0.0,0.0
8260b7fffffffff,350.0,0.0,0.0
826107fffffffff,285.0,0.0,0.0
826117fffffffff,229.0,0.0,0.0
82611ffffffffff,45.0,0.0,0.0
82618ffffffffff,975.0,0.0,0.0
82619ffffffffff,13.0,0.0,0.0
8261affffffffff,2.0,0.0,0.0
