cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
824537fffffffff,119.0,0.0,0.0,0.0
82660ffffffffff,277.0,0.0,0.0,17.0
826617fffffffff,432.0,0.0,78.0,0.0
82661ffffffffff,628.0,0.0,47.0,21.0
82662ffffffffff,10.0,0.0,0.0,5.0
8266a7fffffffff,8249.0,803.0,0.0,0.0
8266affffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,3347.0,0.0,0.0,0.0
8266c7fffffffff,853.0,0.0,0.0,22.0
8266d7fffffffff,4004.0,0.0,455.0,8.0
8266dffffffffff,3010.0,0.0,0.0,1306.0
8266e7fffffffff,120.0,0.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,1806.0,0.0,167.0,0.0
826797fffffffff,18.0,0.0,0.0,0.0
82679ffffffffff,1934.0,0.0,0.0,0.0
826d6ffffffffff,5145.0,0.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,76.0,0.0,15.0,0.0
828f2ffffffffff,342.0,0.0,35.0,4.0
828f47fffffffff,72.0,0.0,0.0,10.0
828f4ffffffffff,29.0,0.0,0.0,0.0
828f57fffffffff,32.0,0.0,0.0,3.0
828f5ffffffffff,21.0,0.0,0.0,0.0
828f77fffffffff,669.0,0.0,0.0,204.0
