cell_id,Pitta novaeguineae,Pitta novaeguineae novaeguineae/goodfellowi,Pitta novaeguineae mefoorana
82728ffffffffff,4.0,0.0,0.0
82729ffffffffff,3.0,0.0,0.0
8272a7fffffffff,17.0,0.0,13.0
8272b7fffffffff,3.0,0.0,0.0
8272d7fffffffff,2.0,0.0,0.0
8272dffffffffff,16.0,1.0,0.0
8272f7fffffffff,33.0,0.0,0.0
82739ffffffffff,198.0,12.0,0.0
82956ffffffffff,7.0,0.0,0.0
829c87fffffffff,1.0,0.0,0.0
829c9ffffffffff,12.0,0.0,0.0
829ca7fffffffff,28.0,0.0,0.0
829caffffffffff,14.0,0.0,0.0
829cd7fffffffff,173.0,4.0,0.0
