cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
83209afffffffff,68.0,0.0,0.0
832c0afffffffff,9.0,0.0,0.0
832c0bfffffffff,3.0,0.0,0.0
832c0cfffffffff,39.0,0.0,0.0
832c12fffffffff,6.0,0.0,0.0
832c16fffffffff,1.0,0.0,0.0
832c19fffffffff,14.0,0.0,0.0
832c1dfffffffff,12.0,0.0,0.0
832c30fffffffff,2.0,0.0,0.0
832c32fffffffff,1.0,0.0,0.0
832c36fffffffff,2.0,0.0,0.0
832c83fffffffff,52.0,0.0,0.0
832c8efffffffff,8.0,0.0,0.0
832c9cfffffffff,6.0,0.0,0.0
832c9dfffffffff,7.0,0.0,0.0
832c9efffffffff,2.0,0.0,0.0
832ca0fffffffff,3.0,0.0,0.0
832ca1fffffffff,2.0,0.0,0.0
832cacfffffffff,15.0,0.0,0.0
832cc0fffffffff,29.0,0.0,0.0
832cc1fffffffff,3.0,0.0,0.0
832ce4fffffffff,127.0,0.0,0.0
832d12fffffffff,48.0,0.0,0.0
832da0fffffffff,10.0,0.0,0.0
832da1fffffffff,97.0,0.0,0.0
832da4fffffffff,29.0,0.0,0.0
832da5fffffffff,156.0,0.0,0.0
832da6fffffffff,75.0,9.0,0.0
832da8fffffffff,220.0,0.0,0.0
832da9fffffffff,3.0,0.0,0.0
832dabfffffffff,31.0,0.0,0.0
832dacfffffffff,22.0,0.0,0.0
832db0fffffffff,490.0,18.0,0.0
832db1fffffffff,247.0,0.0,0.0
832db2fffffffff,3.0,0.0,0.0
833c02fffffffff,71.0,0.0,0.0
833c06fffffffff,13.0,0.0,0.0
833c15fffffffff,68.0,0.0,0.0
833c1bfffffffff,10.0,0.0,0.0
833c1cfffffffff,138.0,0.0,0.0
833c1dfffffffff,1.0,0.0,0.0
833c30fffffffff,8.0,0.0,0.0
833c31fffffffff,6.0,0.0,0.0
833c32fffffffff,1.0,0.0,0.0
833c33fffffffff,22.0,0.0,0.0
833c34fffffffff,8.0,0.0,0.0
833c36fffffffff,4.0,0.0,0.0
833c80fffffffff,1.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833ca8fffffffff,6.0,0.0,0.0
833ca9fffffffff,10.0,0.0,0.0
833ce1fffffffff,10.0,0.0,0.0
833ce4fffffffff,31.0,0.0,0.0
833ce5fffffffff,92.0,0.0,0.0
833cecfffffffff,3.0,0.0,0.0
833cf6fffffffff,2.0,0.0,0.0
833d10fffffffff,344.0,0.0,0.0
833d11fffffffff,45.0,0.0,0.0
833d12fffffffff,16.0,0.0,0.0
833d13fffffffff,354.0,0.0,0.0
833d14fffffffff,127.0,0.0,0.0
833d15fffffffff,160.0,0.0,0.0
833d16fffffffff,27.0,0.0,0.0
833d1afffffffff,13.0,0.0,0.0
833d1efffffffff,259.0,0.0,0.0
833d30fffffffff,13.0,0.0,0.0
833d32fffffffff,61.0,0.0,0.0
833d33fffffffff,38.0,0.0,0.0
833d34fffffffff,34.0,0.0,0.0
833d36fffffffff,100.0,0.0,0.0
833d85fffffffff,54.0,0.0,0.0
833d89fffffffff,17.0,0.0,0.0
833d8bfffffffff,1.0,0.0,0.0
833d8cfffffffff,108.0,0.0,0.0
833d8dfffffffff,68.0,0.0,0.0
833da0fffffffff,23.0,0.0,0.0
833da1fffffffff,1507.0,0.0,0.0
833da3fffffffff,136.0,0.0,0.0
833da4fffffffff,2.0,0.0,0.0
833da5fffffffff,54.0,0.0,0.0
833da6fffffffff,326.0,0.0,0.0
833da8fffffffff,3.0,0.0,0.0
833da9fffffffff,107.0,0.0,0.0
833daafffffffff,3.0,0.0,0.0
833dabfffffffff,2.0,0.0,0.0
833dacfffffffff,144.0,0.0,0.0
833dadfffffffff,1115.0,0.0,0.0
833daefffffffff,5.0,0.0,0.0
833f4dfffffffff,228.0,24.0,0.0
834206fffffffff,1.0,0.0,0.0
834230fffffffff,6.0,0.0,0.0
834233fffffffff,2.0,0.0,0.0
834248fffffffff,4.0,0.0,0.0
834249fffffffff,183.0,0.0,0.0
83424bfffffffff,3.0,0.0,0.0
834259fffffffff,16.0,0.0,0.0
83425dfffffffff,4.0,0.0,0.0
834269fffffffff,132.0,0.0,0.0
8342c4fffffffff,215.0,0.0,0.0
8342c5fffffffff,53.0,0.0,0.0
8342e0fffffffff,1.0,0.0,0.0
8342e2fffffffff,61.0,0.0,0.0
8342e3fffffffff,13.0,0.0,0.0
83431efffffffff,61.0,0.0,0.0
834334fffffffff,2.0,0.0,0.0
834350fffffffff,12.0,0.0,0.0
834648fffffffff,54.0,0.0,2.0
834649fffffffff,23.0,0.0,0.0
83464efffffffff,747.0,0.0,61.0
834f49fffffffff,70.0,0.0,0.0
83534dfffffffff,1.0,0.0,0.0
835d10fffffffff,1506.0,0.0,164.0
835d11fffffffff,12.0,0.0,0.0
835d13fffffffff,11.0,0.0,0.0
835d14fffffffff,96.0,0.0,3.0
835d16fffffffff,90.0,0.0,3.0
