cell_id,Myadestes genibarbis,Myadestes genibarbis [genibarbis Group],Myadestes genibarbis sibilans
8345b2fffffffff,102.0,0.0,0.0
834c89fffffffff,22.0,0.0,0.0
834cd2fffffffff,161.0,8.0,0.0
834cd4fffffffff,205.0,21.0,0.0
834cd6fffffffff,10.0,0.0,0.0
834cf2fffffffff,7.0,0.0,0.0
835e40fffffffff,2.0,0.0,0.0
835e42fffffffff,47.0,0.0,0.0
835e43fffffffff,88.0,0.0,0.0
835e46fffffffff,70.0,1.0,0.0
835e71fffffffff,113.0,20.0,11.0
836725fffffffff,519.0,30.0,0.0
836726fffffffff,28.0,0.0,0.0
836730fffffffff,224.0,4.0,0.0
836732fffffffff,804.0,25.0,0.0
836736fffffffff,81.0,3.0,0.0
