cell_id,Knipolegus orenocensis,Knipolegus orenocensis orenocensis/xinguensis,Knipolegus orenocensis sclateri
845f41bffffffff,2.0,0.0,0.0
845f459ffffffff,1.0,0.0,0.0
846641dffffffff,40.0,0.0,0.0
8466455ffffffff,2.0,0.0,0.0
8466457ffffffff,4.0,0.0,0.0
8466623ffffffff,3.0,0.0,0.0
8466637ffffffff,2.0,0.0,0.0
8466639ffffffff,2.0,0.0,0.0
8466647ffffffff,7.0,0.0,0.0
846674bffffffff,2.0,0.0,0.0
8466759ffffffff,1.0,0.0,0.0
846675dffffffff,36.0,2.0,0.0
8466dc3ffffffff,42.0,0.0,0.0
8466dc7ffffffff,2.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0
8466dcdffffffff,1.0,0.0,0.0
8466dd5ffffffff,1.0,0.0,0.0
8466ddbffffffff,1.0,0.0,0.0
8466ee5ffffffff,2.0,0.0,0.0
84675b1ffffffff,1.0,0.0,0.0
84675b3ffffffff,2.0,0.0,0.0
848145dffffffff,9.0,9.0,0.0
8481635ffffffff,36.0,13.0,0.0
8481637ffffffff,4.0,0.0,0.0
848a451ffffffff,10.0,0.0,0.0
848a459ffffffff,7.0,0.0,0.0
848a45bffffffff,5.0,0.0,0.0
848a45dffffffff,10.0,0.0,0.0
848a68bffffffff,4.0,0.0,0.0
848a699ffffffff,8.0,0.0,0.0
848a6d3ffffffff,12.0,0.0,0.0
848a6d7ffffffff,11.0,0.0,0.0
848a6d9ffffffff,32.0,0.0,0.0
848a6dbffffffff,16.0,0.0,0.0
848a6e3ffffffff,1.0,0.0,0.0
848a809ffffffff,3.0,0.0,0.0
848a8cdffffffff,1.0,0.0,0.0
848a92dffffffff,1.0,0.0,0.0
848aab1ffffffff,3.0,0.0,0.0
848aab5ffffffff,3.0,0.0,0.0
848ae5bffffffff,1.0,0.0,0.0
848af09ffffffff,1.0,0.0,0.0
848af11ffffffff,1.0,0.0,0.0
848af45ffffffff,1.0,0.0,0.0
848af63ffffffff,1.0,0.0,0.0
848af69ffffffff,137.0,0.0,5.0
848f44bffffffff,2.0,0.0,0.0
848f613ffffffff,1.0,0.0,0.0
848f617ffffffff,1.0,0.0,0.0
848f61bffffffff,4.0,0.0,0.0
84a8591ffffffff,1.0,0.0,0.0
84a8cd1ffffffff,1.0,0.0,0.0
