cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
83728cfffffffff,1.0,0.0,0.0
83728efffffffff,9.0,0.0,0.0
837290fffffffff,55.0,0.0,4.0
837291fffffffff,14.0,0.0,0.0
83729dfffffffff,8.0,0.0,0.0
8372a0fffffffff,2.0,0.0,0.0
8372a3fffffffff,14.0,0.0,3.0
8372aefffffffff,219.0,0.0,48.0
8372b4fffffffff,1.0,0.0,1.0
8372c8fffffffff,2.0,0.0,0.0
8372c9fffffffff,8.0,0.0,0.0
8372cbfffffffff,2.0,0.0,0.0
8372d2fffffffff,12.0,0.0,2.0
8372d4fffffffff,1.0,0.0,0.0
8372d5fffffffff,7.0,0.0,0.0
8372d9fffffffff,10.0,0.0,0.0
8372dafffffffff,4.0,0.0,0.0
8372dbfffffffff,26.0,0.0,0.0
8372ddfffffffff,3.0,0.0,0.0
8372defffffffff,10.0,0.0,2.0
8372f2fffffffff,174.0,0.0,32.0
8372f3fffffffff,16.0,0.0,0.0
837390fffffffff,272.0,0.0,15.0
837392fffffffff,14.0,0.0,0.0
837395fffffffff,22.0,0.0,0.0
837396fffffffff,10.0,0.0,3.0
837398fffffffff,3.0,0.0,0.0
83739afffffffff,45.0,0.0,6.0
83739bfffffffff,223.0,0.0,45.0
837680fffffffff,1.0,0.0,0.0
837699fffffffff,47.0,0.0,0.0
83769dfffffffff,7.0,0.0,0.0
837791fffffffff,4.0,0.0,0.0
837795fffffffff,4.0,0.0,0.0
837798fffffffff,1.0,0.0,0.0
837799fffffffff,1.0,0.0,0.0
83779afffffffff,13.0,0.0,0.0
83779cfffffffff,1.0,0.0,0.0
839460fffffffff,34.0,26.0,0.0
839541fffffffff,10.0,0.0,0.0
839544fffffffff,34.0,0.0,2.0
839545fffffffff,50.0,0.0,4.0
839561fffffffff,75.0,0.0,0.0
83956afffffffff,66.0,0.0,4.0
83956bfffffffff,89.0,0.0,6.0
83956cfffffffff,18.0,0.0,2.0
83956dfffffffff,32.0,0.0,0.0
839c00fffffffff,30.0,0.0,10.0
839c05fffffffff,780.0,0.0,127.0
839c0efffffffff,2.0,0.0,0.0
839c19fffffffff,824.0,0.0,156.0
839c20fffffffff,367.0,0.0,52.0
839c21fffffffff,12.0,0.0,2.0
839c23fffffffff,3544.0,0.0,360.0
839c25fffffffff,93.0,0.0,5.0
839c2cfffffffff,2.0,0.0,0.0
839c84fffffffff,2.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0
839c90fffffffff,352.0,0.0,0.0
839c96fffffffff,8.0,0.0,0.0
839c99fffffffff,98.0,0.0,0.0
839c9dfffffffff,29.0,0.0,0.0
839ca6fffffffff,53.0,0.0,0.0
839caafffffffff,24.0,0.0,1.0
839caefffffffff,69.0,0.0,10.0
839cb0fffffffff,4.0,0.0,0.0
839cb5fffffffff,39.0,0.0,0.0
839cd1fffffffff,2.0,0.0,0.0
839cd3fffffffff,273.0,0.0,31.0
839cdafffffffff,1.0,0.0,0.0
839ce2fffffffff,2.0,0.0,1.0
839cf3fffffffff,23.0,0.0,17.0
839cf5fffffffff,90.0,0.0,34.0
839d01fffffffff,2.0,0.0,1.0
839d0bfffffffff,2.0,0.0,0.0
839d0cfffffffff,2.0,0.0,0.0
839d0efffffffff,6.0,0.0,2.0
839d91fffffffff,2.0,0.0,0.0
839d98fffffffff,1.0,0.0,0.0
839d9bfffffffff,1.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0
839ed3fffffffff,2.0,0.0,0.0
839ed5fffffffff,10.0,0.0,0.0
839edefffffffff,6.0,0.0,0.0
839ef3fffffffff,4.0,0.0,1.0
