cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
849c05bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0a5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0adffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0cdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0e1ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c0e9ffffffff,88.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
849c191ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c20bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c211ffffffff,33.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
849c213ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c215ffffffff,131.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
849c217ffffffff,37.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
849c21bffffffff,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c231ffffffff,99.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c233ffffffff,105.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
849c237ffffffff,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
849c239ffffffff,154.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
849c23bffffffff,303.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
849c251ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c259ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c25dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2c1ffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c2c9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2cbffffffff,26.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
849c2cdffffffff,67.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
849c2d1ffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849c2d3ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c2ddffffffff,214.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
849c2e1ffffffff,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849c2e5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2e9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c403ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c417ffffffff,21.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
849c43bffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c443ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c45dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c491ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c497ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c499ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c4a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c4a3ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c4b3ffffffff,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c4bbffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c4cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c4e1ffffffff,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c589ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c599ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c5d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c62dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c647ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c649ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c64bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c655ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c65dffffffff,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
849c661ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849c663ffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c667ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
