cell_id,Pipilo maculatus,Pipilo maculatus [oregonus Group],Pipilo maculatus arcticus,Pipilo maculatus [maculatus Group],Pipilo maculatus macronyx,Pipilo maculatus socorroensis
840e497ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840edb9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840eec7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841259dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125adffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84129d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ab3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412b01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8412b13ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c85ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c9bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412cadffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8412ce3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412d01ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412d17ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412d33ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412d39ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8412d3bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412d8bffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d9dffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8412da7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412dd7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
