cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
8448059ffffffff,1.0,0.0,0.0
8448303ffffffff,1.0,0.0,0.0
844834dffffffff,5.0,0.0,0.0
8449a93ffffffff,3.0,0.0,0.0
8449ac7ffffffff,4.0,0.0,0.0
8466849ffffffff,2.0,0.0,0.0
846684dffffffff,4.0,0.0,0.0
8466859ffffffff,3.0,0.0,3.0
84668e7ffffffff,5.0,0.0,0.0
846696dffffffff,3.0,0.0,0.0
8466999ffffffff,3.0,0.0,0.0
846699bffffffff,1.0,0.0,0.0
84669c9ffffffff,3.0,0.0,0.0
84669cbffffffff,4.0,0.0,0.0
8466a27ffffffff,6.0,0.0,0.0
8466a31ffffffff,3.0,0.0,3.0
8466a33ffffffff,10.0,0.0,10.0
8466a35ffffffff,5.0,0.0,5.0
8466a37ffffffff,55.0,1.0,41.0
8466a53ffffffff,1.0,0.0,0.0
8466acbffffffff,11.0,0.0,11.0
8466ae7ffffffff,1.0,0.0,0.0
8466ae9ffffffff,8.0,0.0,8.0
8466aedffffffff,20.0,0.0,5.0
8466b01ffffffff,2.0,0.0,0.0
8466b0dffffffff,4.0,0.0,0.0
8466b11ffffffff,3.0,0.0,3.0
8466b13ffffffff,1.0,0.0,0.0
8466b1bffffffff,2.0,0.0,0.0
8466b69ffffffff,1.0,0.0,0.0
8466b6dffffffff,4.0,0.0,0.0
8466f23ffffffff,1.0,0.0,0.0
846c595ffffffff,3.0,0.0,3.0
846c597ffffffff,9.0,0.0,0.0
846c5a1ffffffff,2.0,0.0,0.0
846c5a3ffffffff,6.0,6.0,0.0
846c5abffffffff,2.0,0.0,0.0
846c5b7ffffffff,11.0,0.0,0.0
846c5b9ffffffff,2.0,0.0,0.0
846c5bbffffffff,2.0,0.0,0.0
846c5d7ffffffff,1.0,0.0,0.0
846c619ffffffff,6.0,0.0,0.0
846c653ffffffff,3.0,0.0,0.0
846d0cbffffffff,4.0,0.0,0.0
846d0d1ffffffff,2.0,0.0,0.0
846d0dbffffffff,1.0,0.0,0.0
846d159ffffffff,53.0,1.0,3.0
846d15dffffffff,4.0,0.0,0.0
846d2b3ffffffff,6.0,0.0,0.0
846d497ffffffff,2.0,0.0,0.0
846d4bbffffffff,2.0,0.0,0.0
846d695ffffffff,6.0,0.0,0.0
846d697ffffffff,5.0,0.0,0.0
846d6b3ffffffff,2.0,0.0,0.0
846d6bbffffffff,9.0,0.0,0.0
846d701ffffffff,4.0,0.0,0.0
846d747ffffffff,17.0,0.0,0.0
846d761ffffffff,56.0,0.0,0.0
846d765ffffffff,7.0,0.0,0.0
846d769ffffffff,9.0,0.0,0.0
846d76bffffffff,9.0,0.0,0.0
846d76dffffffff,45.0,0.0,0.0
848f2a5ffffffff,3.0,0.0,0.0
848f2a7ffffffff,2.0,0.0,0.0
848fa6bffffffff,1.0,0.0,0.0
848fa6dffffffff,2.0,0.0,0.0
