cell_id,Arremon taciturnus,Arremon taciturnus axillaris,Arremon taciturnus taciturnus/nigrirostris
845f017ffffffff,1.0,0.0,1.0
845f407ffffffff,2.0,0.0,0.0
845f42bffffffff,5.0,0.0,0.0
845f755ffffffff,1.0,0.0,1.0
84660b3ffffffff,3.0,3.0,0.0
84665abffffffff,1.0,0.0,1.0
8466d1bffffffff,1.0,0.0,0.0
8466e57ffffffff,4.0,4.0,0.0
84675a5ffffffff,1.0,1.0,0.0
84675c7ffffffff,2.0,0.0,0.0
8480109ffffffff,4.0,0.0,0.0
84815e9ffffffff,2.0,0.0,0.0
848b2c5ffffffff,1.0,0.0,1.0
848b617ffffffff,2.0,0.0,2.0
848b63bffffffff,12.0,0.0,12.0
