cell_id,Falco sparverius,Falco sparverius [sparverius Group],Falco sparverius paulus,Falco sparverius caribaearum,Falco sparverius dominicensis,Falco sparverius sparverioides,Falco sparverius [cinnamominus Group],Falco sparverius fernandensis
840c415ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c451ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c465ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c71bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840ce9bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d039ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d595ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d5a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d5b9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d667ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d753ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840e45bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec81ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec95ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec97ffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec9dffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840eca3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840eca7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840ecbdffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840ecd7ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412515ffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8412523ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412535ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841253bffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84125b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412883ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412885ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412891ffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412893ffffffff,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412895ffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8412897ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84128abffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84128e3ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84128e5ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412a25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412b01ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c03ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c07ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c09ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c1dffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c8bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cadffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cc7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cc9ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cd3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ce3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d01ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d03ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d0bffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d0dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d17ffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d1dffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d39ffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d3dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d4dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d59ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d5dffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d63ffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d69ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d9dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412dd7ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412de5ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8412de7ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412e13ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412e15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ea7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ea9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412eb7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ebdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412f03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8412f1bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841383dffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84138d5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8413919ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84139edffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8413b35ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841a849ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa07ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa23ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa27ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa35ffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841aa3dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
