cell_id,Cincloramphus macrurus,Cincloramphus macrurus interscapularis/mayri,Cincloramphus macrurus [macrurus Group]
8372a2fffffffff,1.0,0.0,0.0
8372dafffffffff,8.0,0.0,0.0
839c85fffffffff,2.0,0.0,1.0
839c90fffffffff,4.0,0.0,0.0
839cd2fffffffff,5.0,0.0,1.0
