cell_id,Fraseria lendu,Fraseria lendu lendu,Fraseria lendu itombwensis
836ac3fffffffff,1.0,1.0,0.0
836adcfffffffff,255.0,46.0,0.0
836aeafffffffff,1.0,0.0,0.0
837a4cfffffffff,53.0,3.0,0.0
837a4dfffffffff,9.0,0.0,0.0
837a6bfffffffff,3.0,2.0,0.0
