cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
820747fffffffff,2.0,0.0,0.0
820767fffffffff,2.0,0.0,0.0
82089ffffffffff,2.0,2.0,0.0
820997fffffffff,2.0,0.0,0.0
82099ffffffffff,2.0,2.0,0.0
82118ffffffffff,6.0,0.0,0.0
821807fffffffff,1.0,0.0,0.0
82182ffffffffff,60.0,15.0,0.0
821847fffffffff,3.0,3.0,0.0
82184ffffffffff,55.0,8.0,0.0
82185ffffffffff,82.0,46.0,0.0
821877fffffffff,6.0,0.0,2.0
82192ffffffffff,2.0,0.0,0.0
821947fffffffff,33.0,8.0,7.0
82194ffffffffff,4.0,4.0,0.0
821957fffffffff,4.0,2.0,0.0
82195ffffffffff,2.0,2.0,0.0
821977fffffffff,7.0,0.0,2.0
821e07fffffffff,27.0,0.0,0.0
821e0ffffffffff,4.0,2.0,0.0
821e17fffffffff,1.0,0.0,0.0
821e1ffffffffff,2.0,2.0,0.0
821e27fffffffff,4.0,2.0,0.0
821e37fffffffff,13.0,0.0,0.0
821e87fffffffff,4.0,4.0,0.0
821ea7fffffffff,12.0,5.0,0.0
821eaffffffffff,1.0,0.0,0.0
821ec7fffffffff,9.0,0.0,0.0
821ecffffffffff,15.0,0.0,0.0
821ed7fffffffff,4.0,3.0,0.0
821edffffffffff,20.0,3.0,0.0
821ee7fffffffff,12.0,6.0,0.0
821eeffffffffff,4.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f1ffffffffff,9.0,6.0,0.0
821f2ffffffffff,3.0,1.0,0.0
821f87fffffffff,4.0,0.0,0.0
821f8ffffffffff,30.0,16.0,0.0
821f97fffffffff,1.0,0.0,0.0
821f9ffffffffff,4.0,0.0,0.0
821faffffffffff,72.0,58.0,0.0
821fb7fffffffff,4.0,4.0,0.0
82201ffffffffff,4.0,0.0,2.0
82204ffffffffff,4.0,0.0,4.0
822087fffffffff,12.0,0.0,12.0
82208ffffffffff,2.0,0.0,2.0
8220affffffffff,3.0,0.0,0.0
8220b7fffffffff,3.0,0.0,0.0
8220f7fffffffff,1.0,0.0,1.0
82240ffffffffff,4.0,0.0,1.0
822517fffffffff,24.0,0.0,23.0
8225affffffffff,7.0,0.0,4.0
822c1ffffffffff,1.0,0.0,1.0
822c2ffffffffff,2.0,0.0,2.0
822c97fffffffff,14.0,4.0,0.0
822ce7fffffffff,11.0,0.0,0.0
822cf7fffffffff,2.0,0.0,0.0
822d17fffffffff,4.0,0.0,0.0
822d37fffffffff,1.0,0.0,0.0
822d67fffffffff,2.0,0.0,0.0
822da7fffffffff,1.0,0.0,0.0
822db7fffffffff,54.0,11.0,9.0
82309ffffffffff,2.0,0.0,0.0
8230e7fffffffff,1.0,0.0,0.0
82318ffffffffff,4.0,0.0,0.0
823437fffffffff,2.0,0.0,0.0
82346ffffffffff,2.0,2.0,0.0
82351ffffffffff,3.0,0.0,0.0
823867fffffffff,27.0,9.0,0.0
823877fffffffff,15.0,8.0,0.0
823907fffffffff,341.0,238.0,0.0
82390ffffffffff,37.0,37.0,0.0
823917fffffffff,67.0,0.0,0.0
82391ffffffffff,128.0,123.0,0.0
823927fffffffff,36.0,3.0,0.0
82392ffffffffff,43.0,9.0,0.0
823937fffffffff,20.0,9.0,0.0
823947fffffffff,24.0,2.0,0.0
823957fffffffff,28.0,26.0,0.0
82395ffffffffff,74.0,2.0,0.0
823977fffffffff,199.0,17.0,0.0
823c07fffffffff,9.0,0.0,3.0
823c0ffffffffff,8.0,0.0,0.0
823c17fffffffff,3.0,0.0,3.0
823c1ffffffffff,11.0,0.0,0.0
