cell_id,Myiodynastes maculatus,Myiodynastes maculatus [maculatus Group],Myiodynastes maculatus solitarius
834501fffffffff,1.0,0.0,0.0
834505fffffffff,1.0,0.0,0.0
834508fffffffff,10.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0
83450dfffffffff,1.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834521fffffffff,7.0,0.0,0.0
834523fffffffff,1.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
834528fffffffff,18.0,0.0,0.0
83452afffffffff,2.0,0.0,0.0
83452cfffffffff,4.0,0.0,0.0
83452dfffffffff,30.0,0.0,0.0
83452efffffffff,80.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0
834536fffffffff,2.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f12fffffffff,2.0,0.0,2.0
835f58fffffffff,8.0,8.0,0.0
835f5bfffffffff,6.0,6.0,0.0
836608fffffffff,1.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
836620fffffffff,4.0,4.0,0.0
836629fffffffff,1.0,1.0,0.0
8366a5fffffffff,1.0,1.0,0.0
8366b0fffffffff,2.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,9.0,0.0,0.0
8366c0fffffffff,2.0,0.0,2.0
8366cefffffffff,1.0,1.0,0.0
8366d0fffffffff,1.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d3fffffffff,2.0,2.0,0.0
8366dafffffffff,7.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366ecfffffffff,5.0,0.0,5.0
8366f1fffffffff,4.0,3.0,0.0
836741fffffffff,26.0,0.0,0.0
836743fffffffff,2.0,2.0,0.0
83674cfffffffff,2.0,0.0,0.0
83675afffffffff,1.0,1.0,0.0
836794fffffffff,2.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0
83679bfffffffff,2.0,0.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d30fffffffff,5.0,0.0,0.0
836d68fffffffff,22.0,0.0,0.0
836d69fffffffff,89.0,0.0,0.0
836d6dfffffffff,20.0,0.0,0.0
836d6efffffffff,2.0,0.0,0.0
838014fffffffff,3.0,0.0,3.0
838036fffffffff,2.0,0.0,2.0
838121fffffffff,9.0,0.0,9.0
838124fffffffff,3.0,0.0,0.0
838a01fffffffff,2.0,0.0,2.0
838a1bfffffffff,2.0,2.0,0.0
838a45fffffffff,1.0,0.0,0.0
838aabfffffffff,2.0,2.0,0.0
838ad8fffffffff,1.0,1.0,0.0
838adafffffffff,3.0,3.0,0.0
838af0fffffffff,2.0,0.0,2.0
838af6fffffffff,9.0,8.0,1.0
838b61fffffffff,9.0,0.0,9.0
838b71fffffffff,4.0,0.0,4.0
838b75fffffffff,3.0,0.0,3.0
838f0dfffffffff,4.0,2.0,0.0
838f2afffffffff,1.0,1.0,0.0
838f40fffffffff,1.0,0.0,1.0
838f42fffffffff,1.0,0.0,0.0
838f43fffffffff,4.0,0.0,4.0
838f46fffffffff,6.0,0.0,6.0
838f50fffffffff,11.0,0.0,0.0
83a806fffffffff,3.0,0.0,3.0
83a810fffffffff,7.0,0.0,1.0
83a812fffffffff,3.0,0.0,3.0
83a815fffffffff,3.0,0.0,1.0
83a81afffffffff,1.0,0.0,0.0
83a81efffffffff,4.0,0.0,0.0
83a882fffffffff,1.0,0.0,1.0
83a883fffffffff,1.0,0.0,0.0
83a884fffffffff,1.0,0.0,1.0
83a886fffffffff,1.0,0.0,1.0
83a889fffffffff,4.0,0.0,4.0
83a88bfffffffff,6.0,0.0,6.0
83a88dfffffffff,1.0,0.0,1.0
83a891fffffffff,2.0,0.0,2.0
83a8a9fffffffff,3.0,0.0,3.0
83a941fffffffff,21.0,0.0,0.0
83a943fffffffff,3.0,0.0,0.0
83a944fffffffff,10.0,0.0,3.0
83a945fffffffff,2.0,0.0,0.0
83a94cfffffffff,4.0,0.0,0.0
83a953fffffffff,17.0,0.0,5.0
83a95efffffffff,2.0,0.0,2.0
83a961fffffffff,59.0,0.0,0.0
83a962fffffffff,11.0,0.0,4.0
83a963fffffffff,2.0,0.0,0.0
83a965fffffffff,9.0,0.0,0.0
83a968fffffffff,2.0,0.0,0.0
83a96afffffffff,4.0,0.0,0.0
83a96cfffffffff,8.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83a971fffffffff,6.0,0.0,0.0
83b249fffffffff,6.0,0.0,0.0
83b24dfffffffff,78.0,0.0,0.0
83b251fffffffff,1.0,0.0,1.0
83b258fffffffff,2.0,0.0,0.0
83b262fffffffff,2.0,0.0,0.0
83b269fffffffff,4.0,0.0,0.0
83b26bfffffffff,7.0,0.0,0.0
83b26dfffffffff,8.0,0.0,0.0
83b270fffffffff,1.0,0.0,0.0
83b272fffffffff,3.0,0.0,0.0
83b342fffffffff,2.0,0.0,2.0
83b351fffffffff,2.0,0.0,0.0
83c2c5fffffffff,2.0,0.0,0.0
83c2c9fffffffff,13.0,0.0,0.0
83c2cafffffffff,5.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2cdfffffffff,51.0,0.0,0.0
83c2cefffffffff,3.0,0.0,3.0
83c2e2fffffffff,6.0,0.0,4.0
83c2e9fffffffff,1.0,0.0,0.0
83c2ebfffffffff,7.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,2.0
