cell_id,Loriotus luctuosus,Loriotus luctuosus nitidissimus,Loriotus luctuosus [luctuosus Group]
825f5ffffffffff,2.0,0.0,0.0
826617fffffffff,1.0,0.0,0.0
82661ffffffffff,22.0,0.0,0.0
826627fffffffff,5.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0
8266b7fffffffff,5.0,0.0,0.0
8266d7fffffffff,10.0,0.0,0.0
8266e7fffffffff,1.0,0.0,0.0
8266f7fffffffff,14.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d6ffffffffff,5.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
