cell_id,Chlorochrysa calliparaea,Chlorochrysa calliparaea calliparaea/bourcieri,Chlorochrysa calliparaea fulgentissima
8366c0fffffffff,328.0,0.0,0.0
8366c2fffffffff,374.0,0.0,0.0
8366c6fffffffff,67.0,1.0,0.0
8366d1fffffffff,11.0,0.0,0.0
8366dafffffffff,72.0,0.0,0.0
8366defffffffff,1058.0,50.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0
8366e5fffffffff,24.0,0.0,0.0
838b21fffffffff,7.0,0.0,0.0
838b2cfffffffff,24.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0
838b61fffffffff,1077.0,0.0,19.0
838b63fffffffff,2.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0
838b75fffffffff,3.0,0.0,0.0
838e64fffffffff,50.0,0.0,0.0
838e65fffffffff,24.0,0.0,0.0
838f40fffffffff,4.0,0.0,0.0
838f42fffffffff,32.0,0.0,0.0
838f43fffffffff,75.0,6.0,0.0
838f46fffffffff,246.0,6.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,6.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f55fffffffff,1.0,0.0,0.0
838f5dfffffffff,7.0,0.0,0.0
838f70fffffffff,117.0,21.0,0.0
838f72fffffffff,460.0,44.0,0.0
838f73fffffffff,7.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0
838f76fffffffff,106.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,4.0,0.0,0.0
