cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
8445303ffffffff,5.0,0.0,0.0
8445305ffffffff,8.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
8445345ffffffff,6.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
846608dffffffff,1.0,0.0,0.0
84660a1ffffffff,6.0,0.0,0.0
84660a7ffffffff,255.0,0.0,0.0
8466107ffffffff,7.0,0.0,0.0
846610bffffffff,5.0,0.0,0.0
8466113ffffffff,4.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466129ffffffff,26.0,0.0,0.0
8466131ffffffff,32.0,7.0,0.0
8466139ffffffff,95.0,8.0,0.0
846613bffffffff,7.0,0.0,0.0
846613dffffffff,1.0,0.0,0.0
8466163ffffffff,148.0,12.0,0.0
8466165ffffffff,197.0,28.0,0.0
8466167ffffffff,2.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0
8466193ffffffff,18.0,0.0,0.0
8466199ffffffff,6.0,0.0,0.0
846619bffffffff,306.0,0.0,0.0
84661a5ffffffff,4.0,0.0,0.0
84661adffffffff,19.0,0.0,0.0
84661b1ffffffff,302.0,17.0,0.0
84661b3ffffffff,11.0,0.0,0.0
84661b7ffffffff,26.0,0.0,0.0
84661bdffffffff,3.0,0.0,0.0
84661c1ffffffff,2.0,0.0,0.0
84661c9ffffffff,7.0,0.0,0.0
84661cdffffffff,27.0,0.0,0.0
84661d1ffffffff,13.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0
84661ddffffffff,7.0,0.0,0.0
84661ebffffffff,18.0,0.0,0.0
8466a01ffffffff,54.0,0.0,0.0
8466a05ffffffff,15.0,0.0,0.0
8466a0bffffffff,918.0,47.0,0.0
8466a51ffffffff,4829.0,430.0,0.0
8466a55ffffffff,24.0,0.0,0.0
8466a57ffffffff,299.0,5.0,0.0
8466a59ffffffff,33.0,0.0,0.0
8466a5bffffffff,214.0,19.0,0.0
8466a5dffffffff,40.0,6.0,0.0
8466a67ffffffff,2.0,0.0,0.0
8466b49ffffffff,737.0,0.0,0.0
8466b4bffffffff,43.0,0.0,0.0
8466b4dffffffff,710.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b59ffffffff,29.0,0.0,0.0
8466b5bffffffff,72.0,6.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d03ffffffff,10.0,0.0,0.0
8466d07ffffffff,56.0,3.0,0.0
8466d0bffffffff,823.0,42.0,0.0
8466d0dffffffff,2.0,0.0,0.0
8466d23ffffffff,60.0,9.0,0.0
8466d27ffffffff,4.0,2.0,0.0
