cell_id,Tropicoperdix chloropus,Tropicoperdix chloropus tonkinensis,Tropicoperdix chloropus [chloropus Group]
844061bffffffff,10.0,0.0,0.0
8440653ffffffff,2.0,0.0,0.0
8441433ffffffff,31.0,14.0,0.0
844143bffffffff,12.0,5.0,0.0
8441487ffffffff,1.0,0.0,0.0
8441655ffffffff,6.0,0.0,2.0
84416c5ffffffff,3.0,0.0,0.0
84416cdffffffff,2.0,0.0,0.0
84416e1ffffffff,5.0,0.0,0.0
84416edffffffff,3.0,3.0,0.0
846416dffffffff,730.0,0.0,197.0
8464803ffffffff,2.0,0.0,0.0
8464821ffffffff,20.0,0.0,14.0
8464825ffffffff,61.0,0.0,17.0
846482bffffffff,5.0,0.0,0.0
8464843ffffffff,2.0,0.0,0.0
8464845ffffffff,4.0,0.0,0.0
846486bffffffff,1.0,0.0,0.0
8464911ffffffff,4.0,0.0,2.0
8464967ffffffff,2.0,0.0,0.0
8464a03ffffffff,3.0,0.0,0.0
8464a15ffffffff,4.0,0.0,0.0
8464a35ffffffff,8.0,0.0,0.0
8464a39ffffffff,1.0,0.0,0.0
8464a3dffffffff,1.0,0.0,1.0
8464a45ffffffff,2.0,0.0,2.0
8464a4dffffffff,2.0,0.0,0.0
8464b41ffffffff,2.0,0.0,2.0
8464b51ffffffff,4.0,0.0,0.0
8464b55ffffffff,5.0,0.0,1.0
8464b5dffffffff,22.0,0.0,6.0
8465801ffffffff,8.0,0.0,0.0
8465803ffffffff,18.0,0.0,0.0
846580bffffffff,1.0,0.0,0.0
8465811ffffffff,1.0,0.0,0.0
8465817ffffffff,2.0,0.0,0.0
8465819ffffffff,1.0,0.0,0.0
8465825ffffffff,1.0,0.0,0.0
8465851ffffffff,13.0,0.0,0.0
8465857ffffffff,3.0,0.0,0.0
8465859ffffffff,2.0,0.0,0.0
8465897ffffffff,10.0,0.0,0.0
846589bffffffff,3.0,0.0,0.0
84658a1ffffffff,3.0,0.0,3.0
84658a3ffffffff,20.0,0.0,1.0
84658adffffffff,3.0,0.0,0.0
84658e7ffffffff,4.0,0.0,0.0
8465909ffffffff,2.0,0.0,0.0
8465915ffffffff,12.0,0.0,0.0
846591dffffffff,17.0,0.0,0.0
8465947ffffffff,2.0,0.0,0.0
8465959ffffffff,7.0,0.0,0.0
8465961ffffffff,3.0,0.0,0.0
8465969ffffffff,3.0,0.0,0.0
8465991ffffffff,9.0,0.0,0.0
8465993ffffffff,389.0,0.0,86.0
8465999ffffffff,1.0,0.0,0.0
846599bffffffff,7.0,0.0,0.0
84659c1ffffffff,49.0,0.0,0.0
84659c9ffffffff,2.0,0.0,0.0
84659dbffffffff,5.0,0.0,0.0
84659e9ffffffff,2.0,0.0,0.0
8465b01ffffffff,311.0,0.0,73.0
8465b09ffffffff,2.0,0.0,0.0
8465b0bffffffff,1.0,0.0,0.0
8465b23ffffffff,13.0,0.0,0.0
8465b2bffffffff,11.0,0.0,0.0
8465b39ffffffff,16.0,0.0,0.0
8465b3dffffffff,59.0,0.0,0.0
8465b61ffffffff,1.0,0.0,0.0
8465b6bffffffff,1.0,0.0,0.0
