cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
8444301ffffffff,20.0,0.0,17.0,0.0
8444305ffffffff,35.0,0.0,11.0,0.0
8444309ffffffff,149.0,0.0,50.0,0.0
844430dffffffff,1208.0,0.0,294.0,0.0
8444321ffffffff,1.0,0.0,0.0,0.0
8444325ffffffff,1040.0,0.0,87.0,0.0
8444329ffffffff,1207.0,0.0,258.0,0.0
844432dffffffff,138.0,0.0,6.0,0.0
8444347ffffffff,3.0,0.0,0.0,0.0
844434bffffffff,170.0,0.0,49.0,0.0
8444363ffffffff,103.0,0.0,20.0,0.0
844436bffffffff,4.0,0.0,0.0,0.0
844436dffffffff,1.0,0.0,0.0,0.0
844480dffffffff,29.0,0.0,0.0,0.0
8444847ffffffff,2.0,0.0,0.0,0.0
844484bffffffff,657.0,0.0,0.0,0.0
8444859ffffffff,50.0,0.0,0.0,0.0
844485dffffffff,4.0,0.0,0.0,0.0
8444861ffffffff,107.0,1.0,0.0,0.0
8444869ffffffff,164.0,0.0,0.0,0.0
844486bffffffff,146.0,0.0,0.0,0.0
844486dffffffff,17.0,0.0,0.0,0.0
8444a2dffffffff,65.0,0.0,0.0,0.0
8444a37ffffffff,974.0,0.0,0.0,0.0
8444b05ffffffff,27.0,0.0,0.0,0.0
8444b13ffffffff,11.0,0.0,0.0,0.0
8444b17ffffffff,34.0,1.0,0.0,0.0
8444b2bffffffff,14.0,0.0,0.0,0.0
8444b51ffffffff,12.0,0.0,0.0,0.0
8444b53ffffffff,21.0,0.0,0.0,0.0
8444b57ffffffff,1692.0,176.0,0.0,0.0
8444b59ffffffff,1.0,0.0,0.0,0.0
8444b5bffffffff,66.0,0.0,0.0,0.0
8444b5dffffffff,9.0,0.0,0.0,0.0
8444b63ffffffff,3.0,0.0,0.0,0.0
8444b67ffffffff,7.0,0.0,0.0,0.0
84451b7ffffffff,31.0,0.0,1.0,0.0
8445833ffffffff,120.0,0.0,29.0,0.0
8445837ffffffff,1.0,0.0,0.0,0.0
8445847ffffffff,142.0,0.0,0.0,0.0
8445883ffffffff,4.0,0.0,0.0,0.0
8445889ffffffff,1255.0,0.0,224.0,0.0
844588bffffffff,9.0,0.0,1.0,0.0
844588dffffffff,6.0,0.0,6.0,0.0
8445899ffffffff,41.0,0.0,1.0,0.0
844589dffffffff,8.0,0.0,0.0,0.0
84458adffffffff,1.0,0.0,0.0,0.0
84458c3ffffffff,118.0,0.0,19.0,0.0
84458c7ffffffff,1465.0,0.0,305.0,0.0
84458d3ffffffff,23.0,0.0,0.0,0.0
84458d5ffffffff,248.0,0.0,49.0,0.0
