cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
8442d9dffffffff,1.0,0.0,0.0
8460067ffffffff,3.0,0.0,0.0
84611adffffffff,1.0,0.0,1.0
84611cbffffffff,1.0,1.0,0.0
84731b9ffffffff,2.0,0.0,0.0
8477159ffffffff,1.0,0.0,1.0
84845a1ffffffff,9.0,0.0,0.0
84845e1ffffffff,1.0,0.0,0.0
8484a11ffffffff,1.0,0.0,1.0
8485a07ffffffff,1.0,0.0,1.0
8485a2bffffffff,1.0,0.0,1.0
8488cebffffffff,1.0,0.0,1.0
8489227ffffffff,2.0,0.0,0.0
848935dffffffff,1.0,0.0,0.0
848c235ffffffff,1.0,0.0,0.0
849a145ffffffff,1.0,0.0,0.0
849a151ffffffff,1.0,0.0,0.0
849b0a9ffffffff,1.0,0.0,0.0
849e06dffffffff,1.0,0.0,0.0
849e153ffffffff,1.0,0.0,0.0
849e245ffffffff,8.0,0.0,0.0
849e8ddffffffff,1.0,0.0,1.0
849ea9dffffffff,1.0,0.0,1.0
849edbdffffffff,2.0,0.0,2.0
849ef37ffffffff,1.0,0.0,0.0
849fac3ffffffff,1.0,0.0,0.0
84a069bffffffff,1.0,0.0,0.0
84a0cb9ffffffff,1.0,0.0,0.0
84a1197ffffffff,1.0,0.0,0.0
84a2509ffffffff,6.0,0.0,0.0
84a2543ffffffff,4.0,2.0,0.0
84a3911ffffffff,2.0,0.0,0.0
84b4c59ffffffff,2.0,0.0,0.0
84bc027ffffffff,8.0,2.0,0.0
84bc1a9ffffffff,1.0,0.0,0.0
84bc1adffffffff,4.0,0.0,0.0
84bc1b7ffffffff,1.0,0.0,0.0
84bc1c5ffffffff,7.0,0.0,0.0
