cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,46.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,12.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f14fffffffff,5.0,0.0,0.0
835f16fffffffff,10.0,0.0,0.0
835f1cfffffffff,20.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0
835f29fffffffff,4.0,0.0,0.0
835f2bfffffffff,168.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f42fffffffff,7.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f50fffffffff,7.0,0.0,0.0
835f54fffffffff,7.0,0.0,0.0
835f68fffffffff,22.0,0.0,0.0
835f71fffffffff,9.0,0.0,0.0
835f75fffffffff,15.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0
836604fffffffff,25.0,0.0,0.0
836606fffffffff,90.0,0.0,0.0
83660afffffffff,84.0,2.0,0.0
83660efffffffff,38.0,0.0,0.0
836610fffffffff,844.0,0.0,0.0
836611fffffffff,59.0,0.0,0.0
836612fffffffff,1.0,0.0,0.0
836613fffffffff,394.0,0.0,0.0
836616fffffffff,690.0,0.0,0.0
836619fffffffff,162.0,0.0,0.0
83661afffffffff,295.0,0.0,0.0
83661bfffffffff,14.0,0.0,0.0
83661cfffffffff,79.0,0.0,0.0
83661dfffffffff,44.0,0.0,0.0
83661efffffffff,52.0,0.0,0.0
836620fffffffff,7.0,0.0,0.0
836622fffffffff,587.0,0.0,0.0
836641fffffffff,45.0,0.0,0.0
83665afffffffff,64.0,0.0,0.0
83665bfffffffff,20.0,0.0,0.0
836663fffffffff,25.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0
83666cfffffffff,5.0,0.0,0.0
8366a5fffffffff,1204.0,0.0,0.0
8366a6fffffffff,5.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b5fffffffff,187.0,0.0,0.0
8366c2fffffffff,4.0,0.0,0.0
8366cbfffffffff,1.0,0.0,0.0
8366cefffffffff,22.0,0.0,0.0
8366d0fffffffff,198.0,9.0,0.0
8366d2fffffffff,6.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0
8366d5fffffffff,7.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0
8366dcfffffffff,269.0,0.0,17.0
8366ddfffffffff,15.0,0.0,2.0
8366e4fffffffff,9.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0
8366ecfffffffff,5.0,0.0,0.0
8366eefffffffff,7.0,0.0,0.0
8366f0fffffffff,384.0,13.0,0.0
8366f3fffffffff,19.0,2.0,0.0
8366f4fffffffff,1.0,0.0,0.0
83678bfffffffff,4.0,0.0,0.0
83679afffffffff,684.0,0.0,0.0
83679bfffffffff,125.0,0.0,0.0
836d68fffffffff,41.0,0.0,0.0
836d69fffffffff,235.0,0.0,0.0
836d6dfffffffff,772.0,0.0,0.0
838044fffffffff,5.0,0.0,0.0
838046fffffffff,26.0,0.0,0.0
838061fffffffff,10.0,0.0,0.0
838065fffffffff,3.0,0.0,0.0
838066fffffffff,4.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806afffffffff,28.0,0.0,0.0
83806bfffffffff,11.0,0.0,0.0
838071fffffffff,3.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,6.0,0.0,2.0
838143fffffffff,2.0,0.0,0.0
838145fffffffff,3.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,61.0,0.0,0.0
83814dfffffffff,34.0,0.0,0.0
83814efffffffff,25.0,0.0,0.0
83815afffffffff,3.0,0.0,0.0
83815cfffffffff,6.0,0.0,0.0
83815dfffffffff,15.0,0.0,0.0
838163fffffffff,4.0,0.0,0.0
838171fffffffff,38.0,0.0,2.0
838a04fffffffff,1.0,0.0,1.0
838a05fffffffff,10.0,0.0,3.0
838a06fffffffff,1.0,0.0,0.0
838a10fffffffff,20.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0
838a15fffffffff,17.0,0.0,0.0
838a1afffffffff,7.0,0.0,0.0
838a21fffffffff,3.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0
838a31fffffffff,12.0,0.0,0.0
838a33fffffffff,4.0,0.0,0.0
