cell_id,Sterna hirundo,Sterna hirundo hirundo/tibetana,Sterna hirundo longipennis,Sterna hirundo hirundo/tibetana x longipennis
830746fffffffff,1.0,0.0,0.0,0.0
83089afffffffff,2.0,0.0,0.0,0.0
83089efffffffff,6.0,0.0,0.0,0.0
830c14fffffffff,2.0,0.0,2.0,0.0
830ca4fffffffff,4.0,0.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0,0.0
830e49fffffffff,14.0,0.0,0.0,0.0
830e4dfffffffff,17.0,0.0,0.0,0.0
830e5afffffffff,2.0,0.0,0.0,0.0
830e5bfffffffff,1.0,0.0,0.0,0.0
830e80fffffffff,8.0,0.0,0.0,0.0
830e89fffffffff,2.0,0.0,0.0,0.0
830e91fffffffff,1.0,0.0,0.0,0.0
830e94fffffffff,2.0,0.0,0.0,0.0
830eccfffffffff,61.0,0.0,0.0,0.0
830ed8fffffffff,1.0,0.0,0.0,0.0
830ee8fffffffff,2.0,0.0,0.0,0.0
830eeafffffffff,132.0,1.0,0.0,0.0
830eebfffffffff,29.0,0.0,0.0,0.0
830f49fffffffff,2.0,0.0,0.0,0.0
831253fffffffff,3.0,2.0,0.0,0.0
83125dfffffffff,2.0,0.0,0.0,0.0
831289fffffffff,7.0,0.0,0.0,0.0
83128bfffffffff,4.0,0.0,0.0,0.0
83129bfffffffff,6.0,0.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0,0.0
8312c4fffffffff,2.0,0.0,0.0,0.0
8312c9fffffffff,1.0,0.0,0.0,0.0
8312cbfffffffff,8.0,0.0,0.0,0.0
8312ccfffffffff,17.0,0.0,0.0,0.0
8312cdfffffffff,4.0,0.0,0.0,0.0
8312d1fffffffff,3.0,0.0,0.0,0.0
8312d3fffffffff,2.0,0.0,0.0,0.0
8312d6fffffffff,2.0,0.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0,0.0
8312dcfffffffff,1.0,0.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0,0.0
831650fffffffff,1.0,0.0,1.0,0.0
831653fffffffff,13.0,0.0,13.0,0.0
831828fffffffff,2.0,0.0,0.0,0.0
83182cfffffffff,27.0,0.0,0.0,0.0
831844fffffffff,2.0,0.0,0.0,0.0
831849fffffffff,4.0,0.0,0.0,0.0
83184afffffffff,6.0,2.0,0.0,0.0
83184bfffffffff,3.0,0.0,0.0,0.0
831859fffffffff,2.0,1.0,0.0,0.0
83185bfffffffff,13.0,0.0,0.0,0.0
831862fffffffff,2.0,0.0,0.0,0.0
831866fffffffff,3.0,0.0,0.0,0.0
831874fffffffff,1.0,0.0,0.0,0.0
831928fffffffff,2.0,0.0,0.0,0.0
83192bfffffffff,2.0,2.0,0.0,0.0
83192cfffffffff,2.0,0.0,0.0,0.0
831940fffffffff,7.0,0.0,0.0,0.0
831941fffffffff,2.0,0.0,0.0,0.0
831942fffffffff,2.0,0.0,0.0,0.0
831943fffffffff,2.0,0.0,0.0,0.0
831948fffffffff,16.0,2.0,0.0,0.0
83194cfffffffff,62.0,51.0,0.0,0.0
83194dfffffffff,5.0,0.0,0.0,0.0
83194efffffffff,15.0,9.0,0.0,0.0
831951fffffffff,6.0,6.0,0.0,0.0
831958fffffffff,2.0,0.0,0.0,0.0
83195dfffffffff,1.0,0.0,0.0,0.0
831969fffffffff,1.0,1.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0,0.0
831976fffffffff,1.0,0.0,0.0,0.0
831aa0fffffffff,47.0,0.0,0.0,0.0
831aa2fffffffff,97.0,0.0,0.0,0.0
831aa3fffffffff,74.0,0.0,0.0,0.0
831aa4fffffffff,22.0,0.0,0.0,0.0
831aa6fffffffff,16.0,0.0,0.0,0.0
831ab0fffffffff,4.0,0.0,0.0,0.0
831ab4fffffffff,4.0,0.0,0.0,0.0
831ab5fffffffff,2.0,0.0,0.0,0.0
831b80fffffffff,2.0,0.0,0.0,0.0
831b82fffffffff,2.0,0.0,0.0,0.0
831b83fffffffff,4.0,0.0,0.0,0.0
831b8afffffffff,4.0,0.0,0.0,0.0
831b91fffffffff,3.0,0.0,0.0,0.0
831b98fffffffff,54.0,0.0,0.0,0.0
831b99fffffffff,10.0,0.0,0.0,0.0
831b9afffffffff,35.0,0.0,0.0,0.0
831b9cfffffffff,6.0,0.0,0.0,0.0
831b9efffffffff,21.0,0.0,0.0,0.0
831bb0fffffffff,4.0,0.0,0.0,0.0
831bb1fffffffff,2.0,0.0,0.0,0.0
831bb5fffffffff,4.0,0.0,0.0,0.0
831e04fffffffff,34.0,1.0,0.0,0.0
831e05fffffffff,12.0,0.0,0.0,0.0
831e06fffffffff,6.0,0.0,0.0,0.0
831e0afffffffff,7.0,2.0,0.0,0.0
831e12fffffffff,2.0,0.0,0.0,0.0
831e13fffffffff,20.0,0.0,0.0,0.0
831e20fffffffff,1.0,0.0,0.0,0.0
831e22fffffffff,7.0,0.0,0.0,0.0
831e26fffffffff,2.0,0.0,0.0,0.0
831e30fffffffff,17.0,0.0,0.0,0.0
831e33fffffffff,6.0,0.0,0.0,0.0
831e34fffffffff,1.0,0.0,0.0,0.0
831e35fffffffff,2.0,0.0,0.0,0.0
831e5afffffffff,9.0,9.0,0.0,0.0
831e63fffffffff,2.0,0.0,0.0,0.0
831e76fffffffff,2.0,0.0,0.0,0.0
831ea0fffffffff,9.0,4.0,0.0,0.0
831ea1fffffffff,2.0,0.0,0.0,0.0
831ea4fffffffff,2.0,0.0,0.0,0.0
831ea5fffffffff,19.0,8.0,0.0,0.0
831ec1fffffffff,2.0,0.0,0.0,0.0
831ec3fffffffff,2.0,1.0,0.0,0.0
831ec4fffffffff,1.0,0.0,0.0,0.0
831ecbfffffffff,1.0,1.0,0.0,0.0
831ecdfffffffff,2.0,0.0,0.0,0.0
831edafffffffff,12.0,0.0,0.0,0.0
831edefffffffff,5.0,0.0,0.0,0.0
831ee6fffffffff,3.0,0.0,0.0,0.0
831ee8fffffffff,1.0,0.0,0.0,0.0
831ee9fffffffff,1.0,1.0,0.0,0.0
831eebfffffffff,2.0,0.0,0.0,0.0
831eeefffffffff,1.0,0.0,0.0,0.0
831ef2fffffffff,6.0,6.0,0.0,0.0
831f03fffffffff,1.0,1.0,0.0,0.0
831f0dfffffffff,1.0,0.0,0.0,0.0
831f14fffffffff,2.0,2.0,0.0,0.0
831f18fffffffff,2.0,0.0,0.0,0.0
831f1afffffffff,13.0,0.0,0.0,0.0
831f1bfffffffff,17.0,4.0,0.0,0.0
831f33fffffffff,2.0,0.0,0.0,0.0
831f35fffffffff,2.0,0.0,0.0,0.0
831f46fffffffff,1.0,0.0,0.0,0.0
831f53fffffffff,6.0,2.0,0.0,0.0
831f72fffffffff,14.0,0.0,0.0,0.0
831f82fffffffff,31.0,0.0,0.0,0.0
831f8dfffffffff,2.0,0.0,0.0,0.0
831f8efffffffff,4.0,0.0,0.0,0.0
831f98fffffffff,3.0,0.0,0.0,0.0
831f9cfffffffff,2.0,2.0,0.0,0.0
831fa3fffffffff,4.0,0.0,0.0,0.0
831fadfffffffff,2.0,0.0,0.0,0.0
831faefffffffff,1.0,0.0,0.0,0.0
831fb4fffffffff,3.0,0.0,0.0,0.0
832010fffffffff,2.0,0.0,0.0,0.0
832018fffffffff,1.0,0.0,0.0,0.0
832033fffffffff,6.0,0.0,0.0,0.0
8320a5fffffffff,4.0,4.0,0.0,0.0
832156fffffffff,4.0,0.0,0.0,0.0
832198fffffffff,3.0,0.0,0.0,0.0
8322dbfffffffff,29.0,0.0,26.0,0.0
83240cfffffffff,2.0,0.0,0.0,0.0
83242dfffffffff,1.0,0.0,0.0,0.0
832431fffffffff,6.0,0.0,0.0,0.0
832475fffffffff,2.0,1.0,1.0,0.0
832511fffffffff,5.0,0.0,5.0,0.0
832513fffffffff,5.0,2.0,0.0,0.0
83255afffffffff,1.0,0.0,1.0,0.0
832603fffffffff,8.0,0.0,0.0,0.0
832608fffffffff,6.0,0.0,0.0,0.0
83260afffffffff,10.0,1.0,0.0,0.0
83260bfffffffff,4.0,0.0,0.0,0.0
83260dfffffffff,5.0,0.0,0.0,0.0
832611fffffffff,2.0,2.0,0.0,0.0
832612fffffffff,2.0,0.0,0.0,0.0
83261afffffffff,4.0,0.0,0.0,0.0
83261bfffffffff,6.0,0.0,0.0,0.0
83261dfffffffff,3.0,0.0,0.0,0.0
832621fffffffff,4.0,0.0,0.0,0.0
832624fffffffff,4.0,0.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0,0.0
832629fffffffff,4.0,0.0,0.0,0.0
83262afffffffff,6.0,0.0,0.0,0.0
83262cfffffffff,9.0,0.0,0.0,0.0
83262dfffffffff,8.0,0.0,0.0,0.0
832634fffffffff,4.0,0.0,0.0,0.0
832636fffffffff,3.0,0.0,0.0,0.0
832640fffffffff,14.0,0.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,2.0,0.0,0.0,0.0
832646fffffffff,62.0,0.0,0.0,0.0
832648fffffffff,37.0,0.0,0.0,0.0
832649fffffffff,5.0,0.0,0.0,0.0
83264bfffffffff,26.0,0.0,0.0,0.0
83264cfffffffff,31.0,0.0,0.0,0.0
83264dfffffffff,26.0,0.0,0.0,0.0
83264efffffffff,16.0,0.0,0.0,0.0
832650fffffffff,10.0,0.0,0.0,0.0
832653fffffffff,22.0,0.0,0.0,0.0
832654fffffffff,6.0,0.0,0.0,0.0
832655fffffffff,5.0,0.0,0.0,0.0
832656fffffffff,20.0,0.0,0.0,0.0
832659fffffffff,6.0,0.0,0.0,0.0
83265bfffffffff,7.0,0.0,0.0,0.0
83265dfffffffff,4.0,0.0,0.0,0.0
832660fffffffff,9.0,0.0,0.0,0.0
832661fffffffff,21.0,0.0,0.0,0.0
832662fffffffff,1.0,0.0,0.0,0.0
