cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
82b787fffffffff,1.0,1.0,0.0
82ba07fffffffff,7.0,0.0,7.0
82ba0ffffffffff,2.0,0.0,2.0
82ba1ffffffffff,51.0,0.0,51.0
82ba67fffffffff,1.0,1.0,0.0
82bb0ffffffffff,14.0,10.0,4.0
82bb27fffffffff,1.0,1.0,0.0
82bb2ffffffffff,392.0,64.0,316.0
82bb37fffffffff,7.0,6.0,0.0
82bb57fffffffff,44.0,9.0,35.0
82bb5ffffffffff,20.0,17.0,0.0
82be0ffffffffff,169.0,12.0,156.0
82be1ffffffffff,16.0,1.0,15.0
82be2ffffffffff,58.0,2.0,56.0
82be6ffffffffff,222.0,70.0,149.0
82beaffffffffff,44.0,0.0,44.0
82bf07fffffffff,1.0,0.0,1.0
82bf1ffffffffff,1.0,0.0,0.0
82bf47fffffffff,1.0,0.0,0.0
82bf4ffffffffff,22.0,0.0,21.0
82bf5ffffffffff,2.0,0.0,2.0
82bf6ffffffffff,980.0,142.0,837.0
82bf8ffffffffff,1.0,0.0,1.0
82c987fffffffff,1.0,0.0,1.0
82c9b7fffffffff,17.0,0.0,17.0
82d46ffffffffff,11.0,11.0,0.0
82da07fffffffff,22.0,1.0,21.0
82da0ffffffffff,34.0,2.0,32.0
82da1ffffffffff,51.0,27.0,21.0
82da2ffffffffff,1.0,1.0,0.0
82da37fffffffff,11.0,11.0,0.0
82da77fffffffff,4.0,0.0,4.0
82da87fffffffff,6.0,6.0,0.0
82da8ffffffffff,87.0,40.0,45.0
82da97fffffffff,81.0,16.0,63.0
82daaffffffffff,37.0,32.0,4.0
82dab7fffffffff,4.0,3.0,1.0
82db87fffffffff,87.0,85.0,1.0
82db8ffffffffff,2.0,2.0,0.0
82db97fffffffff,37.0,37.0,0.0
82ea9ffffffffff,2.0,2.0,0.0
