cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
831e0afffffffff,2.0,0.0,0.0
832688fffffffff,2.0,0.0,0.0
832830fffffffff,2.0,0.0,0.0
8329a0fffffffff,2.0,0.0,0.0
8329a1fffffffff,4.0,0.0,0.0
8329a5fffffffff,28.0,0.0,0.0
8329adfffffffff,2.0,0.0,0.0
833824fffffffff,1.0,0.0,0.0
833910fffffffff,3.0,0.0,0.0
833931fffffffff,1.0,0.0,0.0
833933fffffffff,2.0,0.0,0.0
83395cfffffffff,1.0,0.0,0.0
834416fffffffff,2.0,0.0,0.0
83441afffffffff,7.0,0.0,0.0
834509fffffffff,3.0,0.0,0.0
834ba5fffffffff,1.0,0.0,0.0
836526fffffffff,2.0,0.0,0.0
839450fffffffff,3.0,0.0,0.0
839451fffffffff,4.0,0.0,3.0
839481fffffffff,2.0,0.0,2.0
83a735fffffffff,2.0,0.0,2.0
83b9b4fffffffff,2.0,0.0,2.0
83b9b5fffffffff,2.0,0.0,0.0
83be09fffffffff,2.0,0.0,0.0
83be49fffffffff,2.0,0.0,0.0
83be4efffffffff,2.0,0.0,0.0
83be63fffffffff,37.0,0.0,30.0
83be6efffffffff,4.0,0.0,0.0
83be71fffffffff,2.0,0.0,2.0
83be72fffffffff,21.0,0.0,0.0
83be73fffffffff,1.0,0.0,0.0
83be8dfffffffff,3.0,0.0,1.0
83becefffffffff,1.0,0.0,0.0
83bef0fffffffff,2.0,0.0,0.0
