cell_id,Vireo leucophrys,Vireo leucophrys [amauronotus Group],Vireo leucophrys [leucophrys Group]
824527fffffffff,486.0,0.0,0.0
824537fffffffff,34.0,0.0,0.0
824997fffffffff,895.0,0.0,0.0
82499ffffffffff,119.0,0.0,0.0
825f4ffffffffff,11.0,0.0,0.0
825f5ffffffffff,1.0,0.0,0.0
826607fffffffff,1.0,0.0,0.0
82660ffffffffff,1246.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,3760.0,0.0,0.0
826627fffffffff,1438.0,0.0,0.0
82662ffffffffff,233.0,0.0,0.0
826637fffffffff,1.0,0.0,0.0
826657fffffffff,5.0,0.0,0.0
8266a7fffffffff,65.0,0.0,0.0
8266b7fffffffff,5344.0,0.0,0.0
8266c7fffffffff,1975.0,0.0,0.0
8266d7fffffffff,5464.0,0.0,0.0
8266dffffffffff,2279.0,0.0,0.0
8266e7fffffffff,5499.0,0.0,0.0
8266effffffffff,14.0,0.0,0.0
8266f7fffffffff,2063.0,0.0,0.0
826747fffffffff,440.0,0.0,0.0
82674ffffffffff,1103.0,0.0,0.0
826757fffffffff,27.0,0.0,0.0
82675ffffffffff,147.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d07fffffffff,38.0,0.0,0.0
826d27fffffffff,86.0,0.0,0.0
826d2ffffffffff,2360.0,0.0,0.0
826d37fffffffff,65.0,0.0,0.0
826d67fffffffff,81.0,0.0,0.0
826d6ffffffffff,876.0,0.0,0.0
828a47fffffffff,11.0,0.0,0.0
828b27fffffffff,21.0,0.0,0.0
828b2ffffffffff,35.0,0.0,0.0
828b67fffffffff,368.0,0.0,0.0
828b6ffffffffff,502.0,0.0,0.0
828b77fffffffff,9.0,0.0,0.0
828e67fffffffff,267.0,0.0,0.0
828e6ffffffffff,6.0,0.0,0.0
828f0ffffffffff,490.0,0.0,0.0
828f2ffffffffff,178.0,0.0,0.0
828f47fffffffff,220.0,0.0,0.0
828f4ffffffffff,20.0,0.0,0.0
828f57fffffffff,276.0,0.0,0.0
828f5ffffffffff,17.0,0.0,0.0
828f77fffffffff,493.0,0.0,0.0
82b327fffffffff,32.0,0.0,0.0
