cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
838b71fffffffff,3.0,1.0,0.0
83a829fffffffff,1.0,0.0,0.0
83a859fffffffff,2.0,0.0,2.0
83a85dfffffffff,32.0,0.0,32.0
83a876fffffffff,1.0,0.0,0.0
83a905fffffffff,6.0,0.0,2.0
83a941fffffffff,4.0,2.0,2.0
83a944fffffffff,1.0,1.0,0.0
83a945fffffffff,2.0,2.0,0.0
83a946fffffffff,406.0,406.0,0.0
83a94cfffffffff,2.0,2.0,0.0
83a94dfffffffff,6.0,6.0,0.0
83a94efffffffff,13.0,6.0,6.0
83a950fffffffff,1.0,0.0,0.0
83a955fffffffff,1.0,1.0,0.0
83a95efffffffff,1.0,0.0,0.0
83a961fffffffff,49.0,49.0,0.0
83a965fffffffff,14.0,14.0,0.0
83a968fffffffff,5.0,5.0,0.0
83a96bfffffffff,14.0,6.0,5.0
83a96cfffffffff,17.0,17.0,0.0
83a96efffffffff,6.0,6.0,0.0
83a973fffffffff,6.0,6.0,0.0
83b209fffffffff,2.0,0.0,2.0
83b242fffffffff,7.0,7.0,0.0
83b243fffffffff,9.0,9.0,0.0
83b244fffffffff,1.0,0.0,0.0
83b245fffffffff,1.0,0.0,0.0
83b248fffffffff,10.0,7.0,0.0
83b249fffffffff,62.0,52.0,3.0
83b24afffffffff,7.0,0.0,4.0
83b24bfffffffff,4.0,4.0,0.0
83b24cfffffffff,2.0,2.0,0.0
83b24dfffffffff,402.0,363.0,5.0
83b251fffffffff,2.0,2.0,0.0
83b258fffffffff,15.0,15.0,0.0
83b259fffffffff,90.0,88.0,0.0
83b25bfffffffff,9.0,9.0,0.0
83b25cfffffffff,6.0,6.0,0.0
83b25dfffffffff,70.0,65.0,5.0
83b25efffffffff,3.0,0.0,3.0
83b261fffffffff,10.0,10.0,0.0
83b262fffffffff,25.0,25.0,0.0
83b266fffffffff,3.0,2.0,0.0
83b268fffffffff,14.0,13.0,0.0
83b269fffffffff,53.0,51.0,2.0
83b26bfffffffff,82.0,74.0,7.0
83b26dfffffffff,33.0,29.0,2.0
83b26efffffffff,2.0,2.0,0.0
83b270fffffffff,4.0,4.0,0.0
83b271fffffffff,2.0,0.0,0.0
83b275fffffffff,59.0,56.0,3.0
83b2cdfffffffff,2.0,0.0,0.0
83b2e9fffffffff,4.0,0.0,4.0
83b342fffffffff,6.0,4.0,2.0
83b34afffffffff,2.0,0.0,1.0
83b34bfffffffff,12.0,0.0,12.0
83b34dfffffffff,29.0,0.0,23.0
83b35bfffffffff,3.0,0.0,0.0
83b35dfffffffff,1.0,0.0,1.0
83b35efffffffff,2.0,2.0,0.0
83b362fffffffff,1.0,0.0,1.0
83b366fffffffff,2.0,1.0,1.0
83c203fffffffff,56.0,56.0,0.0
83c205fffffffff,19.0,19.0,0.0
83c21dfffffffff,91.0,91.0,0.0
83c221fffffffff,6.0,6.0,0.0
83c22afffffffff,18.0,18.0,0.0
83c22cfffffffff,15.0,15.0,0.0
83c22efffffffff,2.0,2.0,0.0
83c288fffffffff,1.0,0.0,0.0
83c2c1fffffffff,7.0,0.0,4.0
83c2c2fffffffff,3.0,3.0,0.0
83c2c5fffffffff,11.0,11.0,0.0
83c2c6fffffffff,2.0,2.0,0.0
83c2c9fffffffff,59.0,57.0,1.0
83c2cafffffffff,3.0,3.0,0.0
83c2cbfffffffff,3.0,3.0,0.0
83c2cdfffffffff,95.0,84.0,3.0
83c2cefffffffff,10.0,6.0,2.0
83c2d9fffffffff,8.0,0.0,8.0
83c2e2fffffffff,2.0,0.0,0.0
83c2e9fffffffff,31.0,29.0,0.0
83c2ebfffffffff,25.0,25.0,0.0
83c2f1fffffffff,2.0,0.0,2.0
83c2f2fffffffff,1.0,1.0,0.0
83c308fffffffff,2.0,2.0,0.0
83c309fffffffff,4.0,4.0,0.0
83c30dfffffffff,2.0,2.0,0.0
83c329fffffffff,8.0,4.0,1.0
83c32afffffffff,3.0,3.0,0.0
83c32dfffffffff,4.0,0.0,4.0
83c32efffffffff,6.0,6.0,0.0
83c348fffffffff,1.0,1.0,0.0
83c349fffffffff,4.0,4.0,0.0
83c34dfffffffff,3.0,3.0,0.0
83c350fffffffff,26.0,26.0,0.0
83c352fffffffff,2.0,2.0,0.0
83c354fffffffff,8.0,8.0,0.0
83c356fffffffff,41.0,41.0,0.0
83c36bfffffffff,4.0,4.0,0.0
83c370fffffffff,2.0,0.0,2.0
83c373fffffffff,1.0,1.0,0.0
83c376fffffffff,2.0,0.0,0.0
83ce93fffffffff,19.0,10.0,1.0
