cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
826417fffffffff,2.0,0.0,0.0
826427fffffffff,39.0,0.0,0.0
826437fffffffff,275.0,4.0,0.0
826507fffffffff,695.0,0.0,0.0
82650ffffffffff,11.0,0.0,0.0
82651ffffffffff,322.0,1.0,0.0
826527fffffffff,2026.0,0.0,0.0
82652ffffffffff,11.0,0.0,0.0
826537fffffffff,1.0,0.0,0.0
826557fffffffff,2.0,0.0,0.0
826807fffffffff,72.0,0.0,0.0
826817fffffffff,227.0,2.0,0.0
82681ffffffffff,642.0,5.0,0.0
826887fffffffff,2.0,0.0,0.0
82688ffffffffff,2.0,0.0,0.0
826897fffffffff,46.0,0.0,0.0
8268a7fffffffff,15.0,0.0,0.0
828c17fffffffff,16.0,0.0,0.0
828c8ffffffffff,2.0,0.0,0.0
828c97fffffffff,71.0,3.0,0.0
828c9ffffffffff,2.0,0.0,0.0
828caffffffffff,63.0,1.0,0.0
828cc7fffffffff,19.0,0.0,0.0
828cdffffffffff,21.0,0.0,0.0
828cf7fffffffff,1.0,0.0,0.0
828da7fffffffff,14.0,0.0,0.0
828db7fffffffff,12.0,0.0,0.0
