cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
8266d7fffffffff,6.0,0.0,0.0,0.0
8266dffffffffff,3.0,0.0,0.0,0.0
8266e7fffffffff,8.0,0.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0,0.0
82b20ffffffffff,3.0,0.0,0.0,0.0
82b25ffffffffff,3.0,0.0,0.0,0.0
82b2c7fffffffff,2.0,0.0,0.0,0.0
82b2e7fffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,7.0,0.0,0.0,0.0
82b377fffffffff,2.0,0.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0,0.0
82cf8ffffffffff,57.0,0.0,0.0,0.0
82df6ffffffffff,3.0,0.0,0.0,0.0
