cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
84414d9ffffffff,4.0,0.0,0.0
844160bffffffff,3.0,0.0,0.0
8441683ffffffff,1.0,0.0,0.0
8441687ffffffff,1.0,0.0,0.0
84416a3ffffffff,1.0,0.0,0.0
84416b7ffffffff,3.0,0.0,0.0
84416bdffffffff,1.0,0.0,0.0
84416c3ffffffff,3.0,0.0,0.0
84416cbffffffff,1.0,0.0,0.0
84416cdffffffff,2.0,0.0,0.0
84416d3ffffffff,2.0,0.0,0.0
84416d5ffffffff,1.0,0.0,0.0
84416dbffffffff,6.0,0.0,0.0
84416ddffffffff,12.0,0.0,0.0
8464125ffffffff,2.0,0.0,0.0
8464163ffffffff,2.0,0.0,0.0
8464165ffffffff,9.0,0.0,0.0
846416dffffffff,103.0,1.0,0.0
8464225ffffffff,74.0,1.0,0.0
846422dffffffff,90.0,1.0,0.0
8464265ffffffff,23.0,0.0,0.0
8464267ffffffff,50.0,0.0,0.0
846426dffffffff,12.0,0.0,0.0
8464307ffffffff,2.0,0.0,0.0
8464309ffffffff,17.0,0.0,0.0
846430bffffffff,5.0,0.0,0.0
8464319ffffffff,277.0,2.0,0.0
846431dffffffff,28.0,0.0,0.0
8464323ffffffff,34.0,0.0,0.0
8464327ffffffff,8.0,0.0,0.0
846432bffffffff,15.0,1.0,0.0
8464339ffffffff,4.0,1.0,0.0
846433dffffffff,3.0,0.0,0.0
8464341ffffffff,7.0,0.0,0.0
8464343ffffffff,28.0,0.0,0.0
8464347ffffffff,52.0,0.0,0.0
8464349ffffffff,49.0,0.0,0.0
846434bffffffff,23.0,1.0,0.0
8464351ffffffff,1.0,0.0,0.0
8464353ffffffff,40.0,0.0,0.0
8464355ffffffff,8.0,0.0,0.0
8464357ffffffff,14.0,0.0,0.0
8464359ffffffff,25.0,0.0,0.0
846435bffffffff,75.0,0.0,0.0
846436bffffffff,13.0,0.0,0.0
8464805ffffffff,1.0,0.0,0.0
846481dffffffff,3.0,0.0,0.0
8464821ffffffff,2.0,0.0,0.0
8464825ffffffff,4.0,0.0,0.0
8464829ffffffff,2.0,0.0,0.0
846482bffffffff,11.0,1.0,0.0
846482dffffffff,3.0,0.0,0.0
8464839ffffffff,1.0,0.0,0.0
8464841ffffffff,16.0,0.0,0.0
8464845ffffffff,2.0,0.0,0.0
8464847ffffffff,3.0,0.0,0.0
8464849ffffffff,4.0,0.0,0.0
846484bffffffff,5.0,0.0,0.0
846484dffffffff,13.0,0.0,0.0
8464851ffffffff,4.0,0.0,0.0
8464855ffffffff,3.0,0.0,0.0
846485dffffffff,2.0,0.0,0.0
8464869ffffffff,4.0,0.0,0.0
8464901ffffffff,13.0,0.0,0.0
8464903ffffffff,1.0,0.0,0.0
846491dffffffff,49.0,2.0,0.0
8464a01ffffffff,13.0,0.0,0.0
8464a05ffffffff,18.0,0.0,0.0
8464a07ffffffff,2.0,0.0,0.0
8464a09ffffffff,12.0,0.0,0.0
8464a0dffffffff,25.0,0.0,0.0
8464a11ffffffff,2.0,0.0,0.0
8464a17ffffffff,9.0,2.0,0.0
8464a19ffffffff,1.0,0.0,0.0
8464a21ffffffff,12.0,0.0,0.0
8464a23ffffffff,14.0,0.0,0.0
8464a25ffffffff,15.0,0.0,0.0
8464a29ffffffff,150.0,0.0,0.0
8464a2bffffffff,17.0,0.0,0.0
8464a2dffffffff,17.0,0.0,0.0
8464a31ffffffff,2.0,0.0,0.0
8464a3dffffffff,13.0,0.0,0.0
8464a41ffffffff,173.0,0.0,0.0
8464a43ffffffff,52.0,0.0,0.0
8464a45ffffffff,27.0,1.0,0.0
8464a47ffffffff,24.0,0.0,0.0
8464a49ffffffff,570.0,3.0,0.0
8464a4bffffffff,620.0,6.0,0.0
8464a4dffffffff,113.0,1.0,0.0
8464a51ffffffff,5.0,0.0,0.0
8464a55ffffffff,5.0,0.0,0.0
8464a57ffffffff,13.0,0.0,0.0
8464a59ffffffff,34.0,0.0,0.0
8464a5bffffffff,8.0,0.0,0.0
8464a5dffffffff,68.0,0.0,0.0
8464a61ffffffff,2.0,0.0,0.0
8464a63ffffffff,6.0,0.0,0.0
8464a67ffffffff,2.0,0.0,0.0
8464a69ffffffff,2.0,0.0,0.0
8464a6bffffffff,4.0,0.0,0.0
8464b05ffffffff,5.0,0.0,0.0
8464b07ffffffff,1.0,0.0,0.0
8464b09ffffffff,2.0,0.0,0.0
8464b13ffffffff,23.0,0.0,0.0
8464b17ffffffff,7.0,0.0,0.0
8464b1bffffffff,28.0,0.0,0.0
8464b29ffffffff,17.0,0.0,0.0
8464b2dffffffff,2.0,0.0,0.0
8464b37ffffffff,2.0,0.0,0.0
8464b41ffffffff,1.0,0.0,0.0
8464b49ffffffff,61.0,0.0,0.0
8464b4dffffffff,10.0,0.0,0.0
8464b51ffffffff,2.0,0.0,0.0
8464b55ffffffff,1.0,0.0,0.0
8464b5dffffffff,2.0,0.0,0.0
8464b61ffffffff,3.0,0.0,0.0
8464b63ffffffff,11.0,0.0,0.0
8464b67ffffffff,15.0,0.0,0.0
8465005ffffffff,117.0,0.0,0.0
8465009ffffffff,16.0,0.0,0.0
846500bffffffff,165.0,0.0,0.0
846500dffffffff,7.0,0.0,0.0
8465015ffffffff,39.0,0.0,0.0
8465017ffffffff,11.0,0.0,0.0
8465019ffffffff,21.0,0.0,0.0
846501dffffffff,7.0,0.0,0.0
8465021ffffffff,4.0,0.0,0.0
8465023ffffffff,4.0,0.0,0.0
8465025ffffffff,1.0,0.0,0.0
8465027ffffffff,6.0,0.0,0.0
8465029ffffffff,6.0,0.0,0.0
846502bffffffff,49.0,0.0,0.0
846502dffffffff,16.0,0.0,0.0
8465031ffffffff,13.0,0.0,0.0
8465033ffffffff,186.0,0.0,0.0
8465035ffffffff,3.0,0.0,0.0
8465037ffffffff,7.0,0.0,0.0
8465039ffffffff,45.0,0.0,0.0
846503bffffffff,31.0,0.0,0.0
8465043ffffffff,1.0,0.0,0.0
8465045ffffffff,3.0,0.0,0.0
8465047ffffffff,2.0,0.0,0.0
846504bffffffff,2.0,0.0,0.0
8465051ffffffff,408.0,0.0,0.0
8465053ffffffff,47.0,0.0,0.0
8465055ffffffff,456.0,0.0,0.0
8465057ffffffff,478.0,0.0,0.0
8465059ffffffff,26.0,0.0,0.0
846505dffffffff,55.0,0.0,0.0
8465063ffffffff,23.0,0.0,0.0
8465093ffffffff,2.0,0.0,0.0
8465099ffffffff,24.0,0.0,0.0
846509bffffffff,2.0,0.0,0.0
84650c1ffffffff,2.0,0.0,0.0
84650d1ffffffff,12.0,0.0,0.0
84650d5ffffffff,7.0,0.0,0.0
84650d7ffffffff,2.0,0.0,0.0
84650d9ffffffff,15.0,0.0,0.0
84650e5ffffffff,10.0,0.0,0.0
8465113ffffffff,15.0,0.0,0.0
8465153ffffffff,3.0,0.0,0.0
8465181ffffffff,24.0,1.0,0.0
8465183ffffffff,62.0,2.0,0.0
8465187ffffffff,54.0,1.0,0.0
8465189ffffffff,23.0,2.0,0.0
846518bffffffff,29.0,0.0,0.0
846518dffffffff,150.0,0.0,0.0
8465191ffffffff,1.0,0.0,0.0
8465193ffffffff,1.0,0.0,0.0
8465195ffffffff,35.0,0.0,0.0
8465199ffffffff,10.0,0.0,0.0
846519dffffffff,35.0,0.0,0.0
84651a3ffffffff,2.0,0.0,0.0
84651b1ffffffff,11.0,0.0,0.0
84651b3ffffffff,5.0,0.0,0.0
