cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
822807fffffffff,6.0,0.0,0.0,0.0,0.0
822837fffffffff,2.0,0.0,0.0,0.0,0.0
822987fffffffff,4.0,0.0,0.0,0.0,0.0
822997fffffffff,43.0,0.0,0.0,0.0,0.0
8229a7fffffffff,421.0,0.0,0.0,0.0,0.0
8229affffffffff,66.0,0.0,0.0,0.0,0.0
8229b7fffffffff,175.0,28.0,0.0,0.0,0.0
824417fffffffff,8.0,0.0,0.0,0.0,0.0
824447fffffffff,129.0,0.0,0.0,0.0,0.0
824467fffffffff,6.0,0.0,0.0,0.0,0.0
82446ffffffffff,1.0,0.0,0.0,0.0,0.0
824477fffffffff,74.0,0.0,0.0,0.0,0.0
824487fffffffff,1.0,0.0,0.0,0.0,0.0
8244a7fffffffff,619.0,0.0,2.0,0.0,0.0
8244affffffffff,13.0,0.0,0.0,0.0,0.0
8244e7fffffffff,5.0,0.0,0.0,0.0,0.0
8244f7fffffffff,16.0,0.0,0.0,0.0,0.0
824507fffffffff,17.0,0.0,1.0,0.0,0.0
82450ffffffffff,14.0,0.0,12.0,0.0,0.0
824527fffffffff,52.0,0.0,3.0,0.0,0.0
82452ffffffffff,33.0,0.0,13.0,0.0,0.0
824537fffffffff,2.0,0.0,0.0,0.0,0.0
824817fffffffff,3.0,0.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,0.0,0.0
824837fffffffff,21.0,20.0,0.0,0.0,0.0
82485ffffffffff,20.0,2.0,0.0,0.0,0.0
824887fffffffff,21.0,0.0,1.0,0.0,0.0
82488ffffffffff,23.0,0.0,0.0,0.0,0.0
824897fffffffff,68.0,0.0,1.0,0.0,0.0
82489ffffffffff,50.0,0.0,0.0,0.0,0.0
8248a7fffffffff,1.0,0.0,1.0,0.0,0.0
8248affffffffff,9.0,0.0,0.0,0.0,0.0
8248b7fffffffff,156.0,0.0,5.0,0.0,0.0
8248c7fffffffff,39.0,3.0,0.0,0.0,0.0
8248cffffffffff,23.0,4.0,0.0,0.0,0.0
8248d7fffffffff,4.0,0.0,0.0,0.0,0.0
8248e7fffffffff,19.0,0.0,0.0,0.0,0.0
8248effffffffff,1110.0,820.0,0.0,0.0,0.0
8248f7fffffffff,11.0,0.0,0.0,0.0,0.0
824987fffffffff,1.0,0.0,0.0,0.0,0.0
824997fffffffff,14.0,0.0,4.0,0.0,0.0
82499ffffffffff,1.0,0.0,0.0,0.0,0.0
8249a7fffffffff,1.0,1.0,0.0,0.0,0.0
8249affffffffff,2.0,2.0,0.0,0.0,0.0
8249b7fffffffff,16.0,7.0,0.0,0.0,0.0
825f5ffffffffff,13.0,0.0,0.0,0.0,3.0
82660ffffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0,0.0,2.0
826627fffffffff,4.0,0.0,0.0,0.0,4.0
82662ffffffffff,4.0,0.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0,0.0
8266effffffffff,31.0,0.0,0.0,0.0,0.0
826747fffffffff,30.0,0.0,0.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0,0.0,0.0
826777fffffffff,5.0,0.0,0.0,0.0,0.0
826d07fffffffff,12.0,4.0,7.0,0.0,0.0
826d17fffffffff,25.0,23.0,0.0,0.0,0.0
826d27fffffffff,17.0,0.0,11.0,0.0,0.0
826d2ffffffffff,65.0,0.0,1.0,0.0,0.0
826d37fffffffff,55.0,3.0,35.0,0.0,0.0
826d6ffffffffff,68.0,0.0,0.0,42.0,0.0
828127fffffffff,3.0,0.0,0.0,0.0,3.0
828b27fffffffff,6.0,0.0,0.0,0.0,6.0
828b47fffffffff,5.0,0.0,0.0,0.0,0.0
828b67fffffffff,4.0,0.0,0.0,0.0,0.0
828b6ffffffffff,5.0,0.0,0.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0,0.0,1.0
82a92ffffffffff,3.0,0.0,0.0,0.0,0.0
82a947fffffffff,6.0,0.0,0.0,0.0,0.0
82a957fffffffff,20.0,0.0,0.0,0.0,0.0
82a967fffffffff,122.0,0.0,0.0,0.0,0.0
82a96ffffffffff,54.0,0.0,0.0,0.0,0.0
82b20ffffffffff,1.0,0.0,0.0,0.0,0.0
82b247fffffffff,3.0,0.0,0.0,0.0,0.0
82b25ffffffffff,8.0,0.0,0.0,0.0,0.0
82b26ffffffffff,14.0,0.0,0.0,0.0,0.0
82b277fffffffff,14.0,0.0,0.0,0.0,0.0
82b2effffffffff,2.0,0.0,0.0,0.0,0.0
82b35ffffffffff,1.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,4.0,0.0,0.0,0.0,0.0
82c2dffffffffff,5.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,32.0,0.0,0.0,0.0,0.0
82c2effffffffff,2.0,0.0,0.0,0.0,0.0
