cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
8494825ffffffff,21.0,12.0,0.0
8494903ffffffff,9.0,2.0,0.0
8494911ffffffff,13.0,0.0,0.0
8494919ffffffff,1.0,0.0,0.0
8494963ffffffff,3.0,0.0,0.0
8494967ffffffff,2.0,0.0,0.0
849c605ffffffff,2.0,0.0,0.0
849c6c1ffffffff,4.0,0.0,0.0
849c6ddffffffff,2.0,0.0,0.0
849d29dffffffff,2.0,0.0,0.0
849d40dffffffff,3.0,2.0,0.0
849d443ffffffff,6.0,0.0,0.0
849d447ffffffff,22.0,4.0,0.0
849d459ffffffff,4.0,0.0,0.0
849d45bffffffff,3.0,0.0,0.0
849d46bffffffff,46.0,11.0,0.0
849d4a1ffffffff,12.0,2.0,0.0
849d4a7ffffffff,2.0,0.0,0.0
849d4c9ffffffff,7.0,0.0,0.0
849d4e7ffffffff,7.0,0.0,0.0
849d559ffffffff,6.0,0.0,0.0
849d55dffffffff,2.0,0.0,0.0
849d601ffffffff,2.0,0.0,0.0
849d619ffffffff,2.0,0.0,0.0
849d625ffffffff,18.0,2.0,0.0
849d637ffffffff,2.0,2.0,0.0
849d63dffffffff,2.0,0.0,0.0
849d657ffffffff,4.0,0.0,0.0
849d681ffffffff,2.0,2.0,0.0
849d683ffffffff,18.0,13.0,0.0
849d685ffffffff,10.0,1.0,0.0
849d68bffffffff,35.0,5.0,0.0
849d695ffffffff,3.0,3.0,0.0
849d6a1ffffffff,2.0,2.0,0.0
849d6a7ffffffff,11.0,1.0,0.0
849d6a9ffffffff,4.0,0.0,0.0
849d6abffffffff,2.0,0.0,0.0
849d6b5ffffffff,1.0,0.0,0.0
849d6b9ffffffff,5.0,0.0,0.0
849d6bdffffffff,2.0,0.0,0.0
849d6cbffffffff,1.0,0.0,0.0
849d6d1ffffffff,3.0,1.0,0.0
849d6d9ffffffff,21.0,5.0,0.0
849d6dbffffffff,71.0,18.0,0.0
849d6ddffffffff,8.0,0.0,0.0
