cell_id,Hypsipetes siquijorensis,Hypsipetes siquijorensis cinereiceps,Hypsipetes siquijorensis monticola,Hypsipetes siquijorensis siquijorensis
8468449ffffffff,46.0,0.0,0.0,0.0
8468461ffffffff,5.0,0.0,0.0,3.0
8468469ffffffff,1.0,0.0,0.0,0.0
8469593ffffffff,2.0,2.0,0.0,0.0
8469597ffffffff,1.0,1.0,0.0,0.0
