cell_id,Muscicapa striata,Muscicapa striata [striata Group],Muscicapa striata tyrrhenica/balearica
820137fffffffff,5.0,0.0,0.0
820807fffffffff,7.0,0.0,0.0
820817fffffffff,44.0,0.0,0.0
82081ffffffffff,24.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0
820837fffffffff,8.0,0.0,0.0
820887fffffffff,121.0,0.0,0.0
82088ffffffffff,65.0,15.0,0.0
820897fffffffff,50.0,0.0,0.0
82089ffffffffff,402.0,63.0,0.0
8208a7fffffffff,61.0,0.0,0.0
8208affffffffff,6.0,0.0,0.0
8208b7fffffffff,58.0,0.0,0.0
8208c7fffffffff,43.0,6.0,0.0
8208cffffffffff,40.0,3.0,0.0
8208d7fffffffff,104.0,7.0,0.0
8208dffffffffff,115.0,0.0,0.0
8208e7fffffffff,15.0,0.0,0.0
8208effffffffff,27.0,2.0,0.0
8208f7fffffffff,24.0,2.0,0.0
82094ffffffffff,2.0,0.0,0.0
82095ffffffffff,1.0,0.0,0.0
820987fffffffff,22.0,0.0,0.0
82098ffffffffff,49.0,0.0,0.0
820997fffffffff,46.0,0.0,0.0
82099ffffffffff,108.0,0.0,0.0
8209a7fffffffff,140.0,20.0,0.0
8209affffffffff,1.0,0.0,0.0
820a37fffffffff,1.0,0.0,0.0
821017fffffffff,2.0,0.0,0.0
821027fffffffff,1.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0
8210c7fffffffff,50.0,0.0,0.0
8210d7fffffffff,3.0,0.0,0.0
8210dffffffffff,9.0,0.0,0.0
8210effffffffff,5.0,0.0,0.0
8210f7fffffffff,8.0,0.0,0.0
821107fffffffff,165.0,0.0,0.0
821117fffffffff,9.0,0.0,0.0
821127fffffffff,43.0,0.0,0.0
82112ffffffffff,24.0,3.0,0.0
821137fffffffff,42.0,0.0,0.0
821157fffffffff,3.0,0.0,0.0
82115ffffffffff,1.0,0.0,0.0
821167fffffffff,1.0,0.0,0.0
821187fffffffff,18.0,0.0,0.0
82118ffffffffff,61.0,3.0,0.0
82119ffffffffff,9.0,0.0,0.0
8211a7fffffffff,13.0,0.0,0.0
8211affffffffff,219.0,15.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821807fffffffff,15.0,0.0,0.0
82180ffffffffff,11.0,0.0,0.0
821827fffffffff,9.0,0.0,0.0
82182ffffffffff,169.0,2.0,0.0
821847fffffffff,43.0,0.0,0.0
82184ffffffffff,1241.0,1.0,0.0
821857fffffffff,2.0,0.0,0.0
82185ffffffffff,118.0,0.0,0.0
821867fffffffff,27.0,2.0,0.0
82186ffffffffff,75.0,2.0,0.0
821877fffffffff,219.0,1.0,0.0
82190ffffffffff,391.0,33.0,0.0
82192ffffffffff,43.0,4.0,0.0
821947fffffffff,529.0,53.0,0.0
82194ffffffffff,439.0,3.0,0.0
821957fffffffff,211.0,2.0,0.0
82195ffffffffff,645.0,19.0,0.0
82196ffffffffff,281.0,13.0,0.0
821977fffffffff,123.0,0.0,0.0
821e07fffffffff,779.0,34.0,0.0
821e0ffffffffff,696.0,15.0,0.0
821e17fffffffff,318.0,4.0,0.0
821e1ffffffffff,362.0,15.0,0.0
821e27fffffffff,177.0,0.0,0.0
821e2ffffffffff,115.0,0.0,0.0
821e37fffffffff,426.0,3.0,0.0
821e47fffffffff,26.0,0.0,0.0
821e4ffffffffff,19.0,0.0,0.0
821e57fffffffff,25.0,0.0,0.0
821e5ffffffffff,139.0,0.0,0.0
821e67fffffffff,42.0,0.0,0.0
821e6ffffffffff,37.0,0.0,0.0
821e77fffffffff,17.0,0.0,0.0
821e87fffffffff,157.0,0.0,0.0
821e8ffffffffff,5.0,0.0,0.0
821e97fffffffff,36.0,0.0,4.0
821e9ffffffffff,50.0,0.0,0.0
821ea7fffffffff,172.0,0.0,0.0
821eaffffffffff,140.0,0.0,0.0
821eb7fffffffff,316.0,3.0,99.0
821ec7fffffffff,587.0,40.0,0.0
821ecffffffffff,885.0,44.0,0.0
821ed7fffffffff,189.0,0.0,0.0
821edffffffffff,730.0,0.0,0.0
821ee7fffffffff,53.0,0.0,0.0
821eeffffffffff,298.0,48.0,0.0
821ef7fffffffff,152.0,0.0,0.0
821f07fffffffff,262.0,44.0,0.0
821f0ffffffffff,66.0,0.0,0.0
821f17fffffffff,165.0,0.0,0.0
821f1ffffffffff,278.0,11.0,0.0
821f27fffffffff,54.0,7.0,0.0
821f2ffffffffff,532.0,293.0,0.0
821f37fffffffff,82.0,8.0,0.0
821f47fffffffff,33.0,0.0,0.0
821f4ffffffffff,48.0,0.0,0.0
821f57fffffffff,147.0,0.0,0.0
821f5ffffffffff,225.0,0.0,0.0
821f67fffffffff,91.0,0.0,0.0
821f6ffffffffff,31.0,0.0,0.0
821f77fffffffff,197.0,0.0,0.0
821f87fffffffff,328.0,14.0,0.0
821f8ffffffffff,525.0,71.0,0.0
821f97fffffffff,42.0,17.0,0.0
821f9ffffffffff,192.0,14.0,0.0
821fa7fffffffff,157.0,0.0,0.0
821faffffffffff,329.0,3.0,0.0
821fb7fffffffff,84.0,0.0,0.0
82200ffffffffff,44.0,18.0,0.0
822017fffffffff,75.0,15.0,0.0
82201ffffffffff,75.0,23.0,0.0
82202ffffffffff,1.0,0.0,0.0
822037fffffffff,8.0,0.0,0.0
82204ffffffffff,79.0,4.0,0.0
82205ffffffffff,21.0,0.0,0.0
82206ffffffffff,5.0,5.0,0.0
822087fffffffff,17.0,0.0,0.0
8220a7fffffffff,49.0,3.0,0.0
8220affffffffff,2.0,0.0,0.0
8220c7fffffffff,2.0,0.0,0.0
8220e7fffffffff,18.0,5.0,0.0
8220effffffffff,4.0,0.0,0.0
82212ffffffffff,1.0,0.0,0.0
822157fffffffff,9.0,4.0,0.0
822187fffffffff,14.0,0.0,0.0
82218ffffffffff,11.0,2.0,0.0
82219ffffffffff,40.0,2.0,0.0
8221a7fffffffff,2.0,0.0,0.0
822407fffffffff,5.0,0.0,0.0
822427fffffffff,10.0,0.0,0.0
82242ffffffffff,9.0,0.0,0.0
822437fffffffff,7.0,0.0,0.0
822467fffffffff,1.0,0.0,0.0
822507fffffffff,2.0,0.0,0.0
82250ffffffffff,1.0,0.0,0.0
822517fffffffff,78.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0
822537fffffffff,1.0,0.0,0.0
822547fffffffff,4.0,0.0,0.0
82255ffffffffff,2.0,0.0,0.0
822577fffffffff,1.0,0.0,0.0
8225a7fffffffff,17.0,0.0,0.0
8225affffffffff,7.0,0.0,0.0
8225b7fffffffff,3.0,0.0,0.0
822c07fffffffff,497.0,0.0,0.0
822c0ffffffffff,70.0,0.0,0.0
822c17fffffffff,45.0,0.0,0.0
822c1ffffffffff,42.0,0.0,0.0
822c27fffffffff,244.0,0.0,0.0
822c2ffffffffff,184.0,0.0,0.0
822c37fffffffff,47.0,0.0,0.0
822c47fffffffff,10.0,0.0,0.0
822c67fffffffff,25.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0
822c77fffffffff,16.0,0.0,0.0
822c87fffffffff,14.0,0.0,0.0
822c8ffffffffff,21.0,0.0,0.0
822c97fffffffff,1030.0,58.0,0.0
822c9ffffffffff,3.0,0.0,0.0
822ca7fffffffff,25.0,0.0,0.0
822caffffffffff,103.0,0.0,0.0
822cc7fffffffff,289.0,0.0,0.0
822ccffffffffff,23.0,0.0,0.0
822cd7fffffffff,95.0,0.0,0.0
822cdffffffffff,60.0,0.0,0.0
822ce7fffffffff,23.0,0.0,0.0
822cf7fffffffff,426.0,0.0,0.0
822d07fffffffff,117.0,0.0,0.0
822d17fffffffff,171.0,0.0,0.0
