cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
82002ffffffffff,2.0,2.0,0.0
820157fffffffff,2.0,0.0,0.0
82015ffffffffff,35.0,33.0,0.0
820247fffffffff,2.0,2.0,0.0
82024ffffffffff,10.0,0.0,0.0
82068ffffffffff,1.0,0.0,0.0
820697fffffffff,1.0,0.0,0.0
8206d7fffffffff,8.0,0.0,0.0
8206dffffffffff,1.0,0.0,0.0
82074ffffffffff,1.0,0.0,0.0
820757fffffffff,2.0,0.0,0.0
82075ffffffffff,2.0,0.0,0.0
820767fffffffff,11.0,0.0,0.0
820777fffffffff,2.0,2.0,0.0
82088ffffffffff,2.0,0.0,2.0
82089ffffffffff,10.0,0.0,0.0
820c17fffffffff,19.0,2.0,0.0
820ca7fffffffff,54.0,1.0,0.0
820d07fffffffff,31.0,7.0,0.0
820d67fffffffff,62.0,9.0,0.0
820e4ffffffffff,3.0,0.0,0.0
820e87fffffffff,6.0,0.0,0.0
820ecffffffffff,33.0,0.0,0.0
820eeffffffffff,43.0,0.0,0.0
820f4ffffffffff,2.0,0.0,0.0
8212b7fffffffff,5.0,0.0,0.0
821617fffffffff,1.0,1.0,0.0
821807fffffffff,10.0,0.0,2.0
821847fffffffff,4.0,0.0,0.0
821877fffffffff,18.0,0.0,0.0
82190ffffffffff,7.0,0.0,0.0
82191ffffffffff,2.0,0.0,0.0
821927fffffffff,2.0,0.0,2.0
82192ffffffffff,2.0,0.0,0.0
821947fffffffff,32.0,2.0,2.0
82194ffffffffff,12.0,0.0,0.0
821957fffffffff,2.0,0.0,0.0
82195ffffffffff,6.0,0.0,0.0
82196ffffffffff,50.0,0.0,0.0
821977fffffffff,7.0,0.0,0.0
821aa7fffffffff,75.0,1.0,4.0
821ab7fffffffff,1.0,0.0,0.0
821b87fffffffff,3.0,0.0,0.0
821b8ffffffffff,1.0,0.0,0.0
821b9ffffffffff,19.0,0.0,0.0
821f07fffffffff,13.0,0.0,0.0
821f0ffffffffff,9.0,0.0,0.0
821f67fffffffff,1.0,0.0,0.0
821f77fffffffff,8.0,0.0,0.0
8222dffffffffff,19.0,5.0,0.0
8222effffffffff,2.0,0.0,0.0
82276ffffffffff,3.0,1.0,0.0
822a07fffffffff,16.0,0.0,0.0
822a17fffffffff,214.0,5.0,11.0
822a37fffffffff,958.0,79.0,76.0
822aa7fffffffff,3.0,0.0,3.0
822aaffffffffff,3.0,0.0,0.0
822ad7fffffffff,40.0,0.0,0.0
822af7fffffffff,7.0,0.0,0.0
822b07fffffffff,19.0,0.0,0.0
822b0ffffffffff,58.0,0.0,0.0
822b17fffffffff,93.0,0.0,0.0
822b1ffffffffff,745.0,0.0,14.0
822b27fffffffff,19.0,0.0,3.0
822b2ffffffffff,31.0,0.0,0.0
822b37fffffffff,22.0,0.0,0.0
822ba7fffffffff,2.0,0.0,0.0
822baffffffffff,11.0,0.0,0.0
8244d7fffffffff,25.0,0.0,0.0
