cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
83ba24fffffffff,4.0,2.0,0.0
83bb08fffffffff,170.0,88.0,0.0
83bb09fffffffff,604.0,354.0,0.0
83bb0afffffffff,20.0,20.0,0.0
83bb0bfffffffff,120.0,80.0,0.0
83bb0cfffffffff,2.0,2.0,0.0
83bb0dfffffffff,636.0,501.0,0.0
83bb28fffffffff,46.0,38.0,0.0
83bb29fffffffff,1000.0,823.0,0.0
83bb2bfffffffff,753.0,627.0,0.0
83bb2dfffffffff,94.0,88.0,0.0
83bb50fffffffff,119.0,55.0,0.0
83bb51fffffffff,16.0,5.0,0.0
83bb52fffffffff,175.0,118.0,0.0
83bb53fffffffff,695.0,409.0,0.0
83bb54fffffffff,27.0,17.0,0.0
83bb56fffffffff,85.0,39.0,0.0
83bb58fffffffff,8.0,8.0,0.0
83bb5efffffffff,66.0,36.0,0.0
83bb72fffffffff,209.0,155.0,0.0
83bb74fffffffff,52.0,24.0,0.0
83bb76fffffffff,44.0,32.0,0.0
83d44dfffffffff,2.0,0.0,0.0
83d46bfffffffff,66.0,0.0,0.0
83da18fffffffff,75.0,29.0,0.0
83da81fffffffff,378.0,230.0,0.0
83da82fffffffff,278.0,111.0,0.0
83da83fffffffff,758.0,369.0,0.0
83da84fffffffff,185.0,103.0,0.0
83da85fffffffff,252.0,153.0,0.0
83da86fffffffff,47.0,23.0,0.0
83da8cfffffffff,601.0,558.0,0.0
83da8efffffffff,848.0,579.0,0.0
83da90fffffffff,393.0,258.0,0.0
83da91fffffffff,281.0,193.0,0.0
83da92fffffffff,247.0,180.0,0.0
83da94fffffffff,18.0,8.0,0.0
83da95fffffffff,422.0,240.0,0.0
83da96fffffffff,120.0,91.0,0.0
83da9cfffffffff,106.0,64.0,0.0
83daa8fffffffff,2.0,0.0,0.0
83daa9fffffffff,69.0,2.0,20.0
83daaafffffffff,642.0,298.0,0.0
83daabfffffffff,3.0,1.0,0.0
83dab3fffffffff,52.0,32.0,0.0
