cell_id,Crypturellus noctivagus,Crypturellus noctivagus zabele,Crypturellus noctivagus noctivagus
8481021ffffffff,2.0,2.0,0.0
8481023ffffffff,9.0,9.0,0.0
8481027ffffffff,3.0,3.0,0.0
8481029ffffffff,15.0,3.0,0.0
8481211ffffffff,8.0,8.0,0.0
8481215ffffffff,13.0,13.0,0.0
8481245ffffffff,8.0,8.0,0.0
848124bffffffff,11.0,11.0,0.0
8481339ffffffff,2.0,0.0,0.0
84a8061ffffffff,12.0,0.0,0.0
84a8105ffffffff,20.0,0.0,0.0
84a8109ffffffff,4.0,0.0,0.0
84a8129ffffffff,2.0,0.0,0.0
84a8143ffffffff,42.0,0.0,0.0
84a8151ffffffff,4.0,0.0,0.0
84a8153ffffffff,7.0,0.0,0.0
84a8155ffffffff,23.0,0.0,3.0
84a815bffffffff,1.0,0.0,0.0
84a8333ffffffff,3.0,0.0,0.0
84a833bffffffff,24.0,0.0,3.0
84a8917ffffffff,4.0,0.0,4.0
