cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
8444249ffffffff,11.0,0.0,0.0
844424dffffffff,4.0,2.0,0.0
8444409ffffffff,2.0,0.0,0.0
844440dffffffff,385.0,0.0,0.0
8444443ffffffff,58.0,0.0,0.0
844445bffffffff,13.0,0.0,0.0
8444461ffffffff,21.0,0.0,0.0
8444463ffffffff,5.0,0.0,0.0
8444465ffffffff,208.0,0.0,0.0
8444467ffffffff,11.0,0.0,0.0
8444469ffffffff,40.0,0.0,0.0
844446bffffffff,9.0,0.0,0.0
844455bffffffff,3.0,0.0,0.0
8444633ffffffff,16.0,0.0,0.0
84446c1ffffffff,15.0,0.0,0.0
84446c5ffffffff,54.0,0.0,0.0
84446c9ffffffff,4.0,0.0,0.0
84446cbffffffff,19.0,0.0,0.0
84446cdffffffff,15.0,0.0,2.0
84446e1ffffffff,5.0,0.0,0.0
84446e5ffffffff,24.0,0.0,0.0
84446e9ffffffff,5.0,0.0,0.0
84446edffffffff,34.0,0.0,0.0
8444731ffffffff,3.0,0.0,0.0
844473bffffffff,41.0,0.0,0.0
8445011ffffffff,15.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445019ffffffff,133.0,4.0,0.0
844501bffffffff,27.0,2.0,0.0
844505bffffffff,60.0,13.0,0.0
8445081ffffffff,6.0,4.0,0.0
8445083ffffffff,130.0,60.0,0.0
8445085ffffffff,61.0,13.0,0.0
8445087ffffffff,346.0,150.0,0.0
8445089ffffffff,18.0,0.0,0.0
844508bffffffff,1.0,0.0,0.0
844508dffffffff,97.0,11.0,0.0
8445091ffffffff,11.0,6.0,0.0
8445093ffffffff,8.0,4.0,0.0
8445095ffffffff,7.0,3.0,0.0
8445097ffffffff,5.0,2.0,0.0
8445099ffffffff,49.0,11.0,0.0
844509bffffffff,198.0,105.0,0.0
844509dffffffff,19.0,0.0,0.0
84450a1ffffffff,252.0,32.0,0.0
84450a3ffffffff,87.0,28.0,0.0
84450a5ffffffff,64.0,18.0,0.0
84450a7ffffffff,29.0,2.0,0.0
84450a9ffffffff,67.0,17.0,0.0
84450abffffffff,24.0,4.0,0.0
84450adffffffff,7.0,0.0,0.0
84450b1ffffffff,76.0,17.0,0.0
84450b5ffffffff,54.0,6.0,0.0
84450b9ffffffff,15.0,2.0,0.0
84450bdffffffff,20.0,6.0,0.0
