cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
830c01fffffffff,6.0,0.0,0.0
830c03fffffffff,184.0,0.0,0.0
830c04fffffffff,62.0,0.0,0.0
830c05fffffffff,3.0,0.0,0.0
830c0bfffffffff,24.0,0.0,0.0
830c1bfffffffff,7.0,0.0,0.0
830c21fffffffff,53.0,0.0,0.0
830c23fffffffff,129.0,0.0,0.0
830c25fffffffff,6.0,0.0,0.0
830c2afffffffff,133.0,0.0,0.0
830c2cfffffffff,112.0,0.0,0.0
830c2dfffffffff,2.0,0.0,0.0
830c34fffffffff,2.0,0.0,0.0
830c35fffffffff,1.0,0.0,0.0
830c42fffffffff,240.0,0.0,0.0
830c44fffffffff,9.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0
830c46fffffffff,213.0,0.0,0.0
830c50fffffffff,12.0,0.0,0.0
830c51fffffffff,79.0,0.0,0.0
830c52fffffffff,2.0,0.0,0.0
830c54fffffffff,116.0,0.0,1.0
830c55fffffffff,344.0,0.0,0.0
830c56fffffffff,12.0,0.0,0.0
830c60fffffffff,24.0,0.0,0.0
830c61fffffffff,21.0,0.0,0.0
830c62fffffffff,85.0,0.0,0.0
830c63fffffffff,69.0,0.0,0.0
830c64fffffffff,162.0,0.0,0.0
830c65fffffffff,73.0,0.0,0.0
830c66fffffffff,80.0,0.0,0.0
830c6afffffffff,2.0,0.0,0.0
830c70fffffffff,412.0,0.0,16.0
830c71fffffffff,163.0,0.0,2.0
830c72fffffffff,4.0,0.0,2.0
830c73fffffffff,2057.0,0.0,170.0
830c74fffffffff,1012.0,0.0,43.0
830c75fffffffff,40.0,0.0,4.0
830c76fffffffff,79.0,0.0,0.0
830cddfffffffff,1.0,0.0,0.0
830ce3fffffffff,3.0,0.0,0.0
830cecfffffffff,17.0,0.0,0.0
830ceefffffffff,2.0,0.0,0.0
830d03fffffffff,5.0,0.0,0.0
830d40fffffffff,150.0,0.0,0.0
830d42fffffffff,82.0,0.0,0.0
830d44fffffffff,8.0,0.0,0.0
830d46fffffffff,62.0,0.0,0.0
830d48fffffffff,49.0,0.0,0.0
830d49fffffffff,47.0,0.0,0.0
830d4afffffffff,60.0,0.0,4.0
830d4cfffffffff,8.0,0.0,0.0
830d4dfffffffff,22.0,0.0,0.0
830d4efffffffff,23.0,0.0,0.0
830d52fffffffff,209.0,0.0,0.0
830d53fffffffff,44.0,0.0,0.0
830d56fffffffff,21.0,0.0,0.0
830d58fffffffff,565.0,0.0,2.0
830d59fffffffff,40.0,0.0,0.0
830d5afffffffff,872.0,0.0,30.0
830d5bfffffffff,23.0,0.0,0.0
830d5cfffffffff,8.0,0.0,0.0
830d5efffffffff,198.0,0.0,4.0
830d61fffffffff,29.0,0.0,0.0
830d6afffffffff,5.0,0.0,0.0
830d6bfffffffff,2.0,0.0,0.0
830d6cfffffffff,6.0,0.0,0.0
830d6efffffffff,20.0,0.0,0.0
830e41fffffffff,6.0,0.0,0.0
830e45fffffffff,20.0,0.0,0.0
830e48fffffffff,164.0,0.0,0.0
830e49fffffffff,457.0,0.0,0.0
830e4afffffffff,180.0,0.0,0.0
830e4bfffffffff,108.0,0.0,0.0
830e4cfffffffff,56.0,0.0,0.0
830e4dfffffffff,752.0,0.0,0.0
830e4efffffffff,8.0,0.0,0.0
830e51fffffffff,5.0,0.0,0.0
830e52fffffffff,7.0,0.0,0.0
830e53fffffffff,16.0,0.0,0.0
830e59fffffffff,22.0,0.0,0.0
830e5afffffffff,4.0,0.0,0.0
830e5bfffffffff,84.0,0.0,0.0
830e62fffffffff,7.0,0.0,0.0
830e63fffffffff,4.0,0.0,0.0
830e69fffffffff,3.0,0.0,0.0
830e6afffffffff,7.0,0.0,0.0
830e6bfffffffff,2.0,0.0,0.0
830e6cfffffffff,5.0,0.0,0.0
830e6efffffffff,4.0,0.0,0.0
830e80fffffffff,8.0,0.0,0.0
830e89fffffffff,40.0,0.0,0.0
830e8dfffffffff,4.0,0.0,0.0
830e8efffffffff,6.0,0.0,0.0
830e91fffffffff,7.0,0.0,0.0
830e94fffffffff,8.0,0.0,0.0
830e96fffffffff,5.0,0.0,0.0
830e9afffffffff,11.0,0.0,0.0
830ec0fffffffff,7.0,0.0,0.0
830ec1fffffffff,74.0,0.0,0.0
830ec2fffffffff,169.0,0.0,0.0
830ec3fffffffff,1.0,0.0,0.0
830ec4fffffffff,1.0,0.0,0.0
830ec5fffffffff,3.0,0.0,0.0
830ec8fffffffff,66.0,0.0,0.0
830ec9fffffffff,185.0,0.0,59.0
830ecafffffffff,71.0,0.0,0.0
830ecbfffffffff,83.0,0.0,0.0
830eccfffffffff,625.0,0.0,3.0
830ecdfffffffff,45.0,0.0,22.0
830ed1fffffffff,14.0,0.0,0.0
830ed2fffffffff,2.0,0.0,0.0
830ed4fffffffff,28.0,0.0,0.0
830ed5fffffffff,10.0,0.0,0.0
830ed8fffffffff,4.0,0.0,0.0
830ed9fffffffff,21.0,0.0,0.0
830edafffffffff,4.0,0.0,0.0
830edbfffffffff,9.0,0.0,0.0
830edcfffffffff,3.0,0.0,0.0
830edefffffffff,6.0,0.0,0.0
830ee1fffffffff,2.0,0.0,0.0
830ee8fffffffff,10.0,0.0,0.0
830ee9fffffffff,4.0,0.0,0.0
830eeafffffffff,1295.0,0.0,0.0
