cell_id,Malacocincla sepiaria,Malacocincla sepiaria tardinata/barussana,Malacocincla sepiaria sepiaria,Malacocincla sepiaria rufiventris/harterti
826507fffffffff,103.0,0.0,0.0,0.0
82650ffffffffff,1.0,0.0,0.0,0.0
82651ffffffffff,4.0,2.0,0.0,0.0
826527fffffffff,133.0,0.0,0.0,0.0
82652ffffffffff,13.0,0.0,0.0,0.0
826557fffffffff,1.0,0.0,0.0,0.0
826807fffffffff,25.0,0.0,0.0,0.0
826817fffffffff,19.0,0.0,0.0,0.0
82681ffffffffff,295.0,0.0,0.0,18.0
826887fffffffff,1.0,0.0,0.0,0.0
826897fffffffff,2.0,0.0,0.0,0.0
8268a7fffffffff,1.0,0.0,0.0,0.0
828c17fffffffff,347.0,0.0,6.0,0.0
828c1ffffffffff,21.0,3.0,0.0,0.0
828c97fffffffff,11.0,0.0,0.0,0.0
828cd7fffffffff,31.0,12.0,0.0,0.0
828cf7fffffffff,4.0,4.0,0.0,0.0
828d87fffffffff,24.0,0.0,0.0,0.0
828d8ffffffffff,32.0,0.0,2.0,0.0
828da7fffffffff,99.0,0.0,5.0,0.0
828daffffffffff,6.0,0.0,0.0,0.0
828db7fffffffff,130.0,0.0,0.0,0.0
8295a7fffffffff,4.0,0.0,0.0,0.0
