cell_id,Cyanoderma rufifrons,Cyanoderma rufifrons [ambiguum Group],Cyanoderma rufifrons [rufifrons Group]
823c57fffffffff,3.0,2.0,1.0
823c5ffffffffff,142.0,142.0,0.0
823cc7fffffffff,134.0,134.0,0.0
823ccffffffffff,13.0,13.0,0.0
823cdffffffffff,15.0,12.0,3.0
823ce7fffffffff,18.0,18.0,0.0
823ceffffffffff,198.0,198.0,0.0
82406ffffffffff,1.0,0.0,1.0
82414ffffffffff,31.0,31.0,0.0
82415ffffffffff,6.0,6.0,0.0
82416ffffffffff,2.0,2.0,0.0
826417fffffffff,711.0,0.0,711.0
826437fffffffff,143.0,0.0,143.0
826487fffffffff,144.0,3.0,141.0
82648ffffffffff,5.0,0.0,5.0
826497fffffffff,415.0,118.0,297.0
82649ffffffffff,10.0,7.0,3.0
8264a7fffffffff,24.0,0.0,24.0
8264affffffffff,1.0,0.0,1.0
8264b7fffffffff,101.0,84.0,17.0
826507fffffffff,148.0,0.0,148.0
82650ffffffffff,1.0,0.0,1.0
82651ffffffffff,162.0,0.0,162.0
826527fffffffff,146.0,0.0,146.0
826557fffffffff,1.0,0.0,1.0
82658ffffffffff,20.0,0.0,20.0
826807fffffffff,9.0,0.0,9.0
826817fffffffff,52.0,0.0,52.0
82681ffffffffff,272.0,0.0,272.0
82689ffffffffff,2.0,0.0,2.0
8268affffffffff,2.0,0.0,2.0
828c1ffffffffff,8.0,0.0,8.0
828c97fffffffff,46.0,0.0,46.0
828cd7fffffffff,11.0,0.0,11.0
