cell_id,Formicarius nigricapillus,Formicarius nigricapillus nigricapillus,Formicarius nigricapillus destructus
8466165ffffffff,7.0,0.0,0.0
84661a5ffffffff,83.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0
84661adffffffff,30.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0
8466a01ffffffff,5.0,0.0,0.0
8466a05ffffffff,8.0,0.0,0.0
8466a0bffffffff,6.0,0.0,0.0
8466a57ffffffff,20.0,0.0,0.0
8466a5bffffffff,8.0,0.0,0.0
8466b49ffffffff,156.0,0.0,0.0
8466b4dffffffff,233.0,0.0,0.0
8466b5bffffffff,4.0,0.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d05ffffffff,3.0,0.0,0.0
8466d07ffffffff,81.0,0.0,0.0
8466d23ffffffff,49.0,0.0,0.0
8466d25ffffffff,1.0,0.0,0.0
8466d27ffffffff,20.0,0.0,0.0
8466d31ffffffff,30.0,0.0,0.0
8466d35ffffffff,261.0,0.0,0.0
8466d37ffffffff,17.0,0.0,0.0
8466d3dffffffff,5.0,0.0,0.0
8466d55ffffffff,2.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466f03ffffffff,161.0,0.0,0.0
8466f0bffffffff,117.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
846d681ffffffff,4.0,0.0,0.0
846d68bffffffff,38.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0
846d691ffffffff,26.0,0.0,0.0
846d699ffffffff,1.0,0.0,0.0
846d69bffffffff,21.0,0.0,0.0
846d69dffffffff,605.0,0.0,0.0
848f2a9ffffffff,8.0,0.0,0.0
848f2abffffffff,6.0,0.0,0.0
848f2b9ffffffff,32.0,0.0,0.0
848f2bbffffffff,1.0,0.0,0.0
848f2c3ffffffff,5.0,0.0,0.0
848f2c9ffffffff,3.0,0.0,0.0
848f2cbffffffff,16.0,0.0,0.0
848f2cdffffffff,131.0,0.0,0.0
848f2d5ffffffff,2.0,0.0,0.0
